arm,feature,c,dist1,dist2,dist3
dirfix,10134,2.0,0.9111111111111111,0.6666666666666666,0.43333333333333335
dirfix,10134,2.5,0.9032258064516129,0.5161290322580645,0.2903225806451613
dirfix,10134,3.0,0.972972972972973,0.1891891891891892,0.0
dirfix,12625,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,12625,0.5,0.6200527704485488,0.9410729991204925,0.9454705364995603
dirfix,12625,1.0,0.5230898404701931,0.9151973131821999,0.9429051217464316
dirfix,12625,1.25,0.4247787610619469,0.8640386162510056,0.9227674979887369
dirfix,12625,1.5,0.30470500373412995,0.7318894697535474,0.864824495892457
dirfix,12625,2.0,0.12394957983193278,0.43907563025210083,0.707983193277311
dirfix,12625,2.5,0.08408617095205004,0.320361362056984,0.556636553161918
dirfix,12625,3.0,0.04375,0.14166666666666666,0.28958333333333336
dirfix,13178,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,13178,0.5,0.6037735849056604,0.9380053908355795,0.9281221922731356
dirfix,13178,1.0,0.6058661778185152,0.8771769019248395,0.8744271310724107
dirfix,13178,1.25,0.5268722466960353,0.7779735682819383,0.7929515418502202
dirfix,13178,1.5,0.4291958041958042,0.6538461538461539,0.6643356643356644
dirfix,13178,2.0,0.2712392829306313,0.3967264224473889,0.4201091192517537
dirfix,13178,2.5,0.19665907365223995,0.2999240698557327,0.33181473044798787
dirfix,13178,3.0,0.1911211437170805,0.3220466516177577,0.36042136945071485
dirfix,14067,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,14067,0.5,0.6157205240174672,0.9310043668122271,0.9301310043668122
dirfix,14067,1.0,0.49912739965095987,0.8612565445026178,0.931064572425829
dirfix,14067,1.25,0.39303482587064675,0.7338308457711443,0.8565505804311775
dirfix,14067,1.5,0.26582278481012656,0.5450949367088608,0.7143987341772152
dirfix,14067,2.0,0.14093959731543623,0.31096196868008946,0.41312453392990306
dirfix,14067,2.5,0.059732958538299366,0.13000702740688685,0.1735769501054111
dirfix,14067,3.0,0.04819277108433735,0.08788093550673282,0.10630758327427356
dirfix,16446,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,16446,0.5,0.5850515463917526,0.9123711340206185,0.9269759450171822
dirfix,16446,1.0,0.4827586206896552,0.8413793103448276,0.8837438423645321
dirfix,16446,1.25,0.36217948717948717,0.6378205128205128,0.7318376068376068
dirfix,16446,1.5,0.4282560706401766,0.6269315673289183,0.6490066225165563
dirfix,16446,2.0,0.4644808743169399,0.5409836065573771,0.5081967213114754
dirfix,16446,2.5,0.7619047619047619,0.2857142857142857,0.16666666666666666
dirfix,16446,3.0,0.4838709677419355,0.03225806451612903,0.0
dirfix,18537,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,18537,0.5,0.6252189141856392,0.9238178633975481,0.925569176882662
dirfix,18537,1.0,0.5711878685762426,0.9292333614153327,0.9486099410278012
dirfix,18537,1.25,0.5040453074433657,0.877831715210356,0.9377022653721683
dirfix,18537,1.5,0.4035769828926905,0.7410575427682737,0.8444790046656299
dirfix,18537,2.0,0.273972602739726,0.6035007610350076,0.8059360730593608
dirfix,18537,2.5,0.221379833206975,0.4783927217589083,0.6762699014404853
dirfix,18537,3.0,0.14306676449009537,0.3404255319148936,0.5311812179016875
dirfix,18931,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,18931,0.5,0.6141114982578397,0.9381533101045296,0.9451219512195121
dirfix,18931,1.0,0.5389948006932409,0.9202772963604853,0.9419410745233969
dirfix,18931,1.25,0.45570630486831604,0.9146049481245012,0.9473264166001596
dirfix,18931,1.5,0.30248306997742663,0.7577125658389767,0.8833709556057185
dirfix,18931,2.0,0.14817415730337077,0.49719101123595505,0.7563202247191011
dirfix,18931,2.5,0.09318497913769123,0.3463143254520167,0.586230876216968
dirfix,18931,3.0,0.052083333333333336,0.18125,0.35694444444444445
dirfix,24082,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,24082,0.5,0.6142222222222222,0.9155555555555556,0.9217777777777778
dirfix,24082,1.0,0.5490196078431373,0.8894830659536542,0.9233511586452763
dirfix,24082,1.25,0.5137046861184792,0.861184792219275,0.9204244031830239
dirfix,24082,1.5,0.47810858143607704,0.8458844133099825,0.9194395796847635
dirfix,24082,2.0,0.3913435527502254,0.7051397655545536,0.8124436429215509
dirfix,24082,2.5,0.31831537708129287,0.5308521057786484,0.6287952987267384
dirfix,24082,3.0,0.15597147950089127,0.2736185383244207,0.3538324420677362
naive,2851,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,2851,0.5,0.6086191732629728,0.941952506596306,0.9445910290237467
naive,2851,1.0,0.5823986194995686,0.9292493528904228,0.9439171699741156
naive,2851,1.25,0.5493934142114385,0.9150779896013865,0.9445407279029463
naive,2851,1.5,0.5206684256816183,0.9058927000879508,0.9428320140721196
naive,2851,2.0,0.4670487106017192,0.8815663801337154,0.9407831900668577
naive,2851,2.5,0.42902208201892744,0.8580441640378549,0.9305993690851735
naive,2851,3.0,0.4213075060532688,0.8401937046004843,0.9164648910411622
naive,3758,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,3758,0.5,0.6348470806302131,0.9416126042632067,0.9443929564411492
naive,3758,1.0,0.6136986301369863,0.936986301369863,0.9442922374429223
naive,3758,1.25,0.630709426627794,0.9465500485908649,0.9407191448007775
naive,3758,1.5,0.6690871369294605,0.950207468879668,0.9377593360995851
naive,3758,2.0,0.6971428571428572,0.9508571428571428,0.9302857142857143
naive,3758,2.5,0.6276477146042363,0.9130434782608695,0.927536231884058
naive,3758,3.0,0.5068928950159067,0.8525980911983033,0.9183457051961824
naive,4752,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,4752,0.5,0.6555023923444976,0.9444976076555024,0.939712918660287
naive,4752,1.0,0.6552053486150907,0.936007640878701,0.9398280802292264
naive,4752,1.25,0.6237721021611002,0.9086444007858546,0.9204322200392927
naive,4752,1.5,0.6258847320525783,0.8988877654196158,0.9120323559150657
naive,4752,2.0,0.6502192982456141,0.9210526315789473,0.9331140350877193
naive,4752,2.5,0.6278026905829597,0.9271300448430493,0.929372197309417
naive,4752,3.0,0.5533553355335533,0.8932893289328933,0.922992299229923
naive,6046,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,6046,0.5,0.6274881516587678,0.943127962085308,0.9402843601895735
naive,6046,1.0,0.5990610328638498,0.9342723004694836,0.9417840375586854
naive,6046,1.25,0.5980582524271845,0.9485436893203884,0.941747572815534
naive,6046,1.5,0.6171875,0.953125,0.94140625
naive,6046,2.0,0.6192842942345924,0.9562624254473161,0.9403578528827038
naive,6046,2.5,0.5640273704789834,0.9442815249266863,0.9393939393939394
naive,6046,3.0,0.5419479267116682,0.914175506268081,0.9315332690453231
naive,10134,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,10134,0.5,0.6199460916442049,0.9353099730458221,0.9442946990116802
naive,10134,1.0,0.567354965585054,0.8967551622418879,0.9370698131760079
naive,10134,1.25,0.5607798165137615,0.8715596330275229,0.9162844036697247
naive,10134,1.5,0.5289473684210526,0.8486842105263158,0.8986842105263158
naive,10134,2.0,0.4146341463414634,0.7713414634146342,0.8734756097560976
naive,10134,2.5,0.3821138211382114,0.7203252032520325,0.848780487804878
naive,10134,3.0,0.3609671848013817,0.6994818652849741,0.8324697754749568
naive,12625,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,12625,0.5,0.6151142355008787,0.9499121265377856,0.9472759226713533
naive,12625,1.0,0.5111876075731497,0.919104991394148,0.9475043029259896
naive,12625,1.25,0.46859504132231405,0.9082644628099174,0.947107438016529
naive,12625,1.5,0.379833206974981,0.8605003790750568,0.9469294920394238
naive,12625,2.0,0.27885304659498206,0.774910394265233,0.9333333333333333
naive,12625,2.5,0.22387005649717515,0.6949152542372882,0.9230225988700564
naive,12625,3.0,0.19309372797744892,0.649753347427766,0.9013389711064129
