match_mode,arm,group,n_pairs,n_matched,n_skipped,skip_frac,n_features,mean_d_logppl,d_logppl_lo95,d_logppl_hi95,mean_d_keyword_hit,d_keyword_hit_lo95,d_keyword_hit_hi95,mean_d_rep4,d_rep4_lo95,d_rep4_hi95
rep4,diffmeans_purified,c_n=0.0,12,12,0,0.0,12,-0.00015474955240879495,-0.00015474955240879495,-0.00015474955240879495,0.0,0.0,0.0,,,
rep4,diffmeans_purified,c_n=0.5,12,12,0,0.0,12,0.2497612495812739,-0.1363996013590969,0.8003357931777482,0.007755365828791968,-0.10614797224771047,0.14722222222222223,,,
rep4,diffmeans_purified,c_n=1.0,12,12,0,0.0,12,-1.0329243587946888,-1.4168223590195685,-0.5904797429240333,-0.21567930150390258,-0.395827263492466,-0.03318347953216375,,,
rep4,diffmeans_purified,c_n=1.5,12,11,1,0.08333333333333333,11,-1.381214826574867,-2.28148262790626,-0.24416271114718638,-0.038134328435767875,-0.23023749703140053,0.17460768398268384,,,
rep4,diffmeans_purified,c_n=2.0,12,10,2,0.16666666666666666,10,-1.7575444255969106,-2.76806255339024,-0.5533357578872279,0.06631002941240705,-0.05881425103975557,0.21484941415629052,,,
rep4,diffmeans_purified,c_n=3.0,12,10,2,0.16666666666666666,10,-1.3350542938540708,-2.3898954613590813,-0.1255307216028715,0.2115538195041588,0.06738715283749216,0.39252842882093714,,,
rep4,dirfix,all,72,63,9,0.125,12,-0.9531626539484237,-1.4019357929268053,-0.41166874529600134,0.03306335918895052,-0.05956493451239055,0.12134236391382967,,,
rep4,dirfix,c_n=0.0,12,12,0,0.0,12,-0.0001734097798662404,-0.0001734097798662404,-0.0001734097798662404,0.0,0.0,0.0,,,
rep4,dirfix,c_n=0.5,12,10,2,0.16666666666666666,10,-0.10876654056234547,-0.42497992413972674,0.2680789216177132,-0.008929127503202575,-0.10907661515856355,0.09,,,
rep4,dirfix,c_n=1.0,12,12,0,0.0,12,-1.2123009511773415,-1.5252178812480868,-0.8432195602674769,-0.2060109444676278,-0.3939866062973951,-0.030467011878599248,,,
rep4,dirfix,c_n=1.5,12,10,2,0.16666666666666666,10,-1.6558870954149896,-2.5203644556775844,-0.5945656833166137,0.09104551899304605,-0.11732324866213464,0.28141225847647827,,,
rep4,dirfix,c_n=2.0,12,10,2,0.16666666666666666,10,-1.5259293681706128,-2.6081442276691704,-0.2891560966705054,0.14850858853976803,0.017156448870844165,0.2905695197473719,,,
rep4,dirfix,c_n=3.0,12,9,3,0.25,9,-1.3993027584205244,-2.7238121425739474,-0.06962296656018596,0.24987479580214453,0.07888888888888888,0.43065822119624864,,,
rep4,purified,all,72,68,4,0.05555555555555555,12,-0.7923325441426855,-1.2779217191010754,-0.22954825159987627,0.02614554202818492,-0.05088491240805089,0.10278570838577117,,,
rep4,purified,c_n=0.0,12,12,0,0.0,12,-8.115768432611266e-05,-0.00011159181594840491,-5.072355270382042e-05,0.0,0.0,0.0,,,
rep4,purified,c_n=0.5,12,12,0,0.0,12,0.2481572964682568,0.02580153117409202,0.6524024891417279,0.01831754742393862,-0.0328093495965672,0.08611111111111112,,,
rep4,purified,c_n=1.0,12,11,1,0.08333333333333333,11,-1.0101281634762167,-1.3851612252683563,-0.5907763130547584,-0.12582958443234837,-0.238771016502533,-0.018176336567001104,,,
rep4,purified,c_n=1.5,12,12,0,0.0,12,-1.2954160255816924,-2.1143690065180305,-0.36977390118966497,-0.025686270190267067,-0.17366067291033013,0.11393764244170576,,,
rep4,purified,c_n=2.0,12,12,0,0.0,12,-1.423523628707157,-2.3425886223538726,-0.4140696459687679,0.07600946887791792,-0.019113215619737667,0.18236517525323953,,,
rep4,purified,c_n=3.0,12,9,3,0.25,9,-1.457426779711688,-2.665441085594672,-0.07466469150119845,0.2598148148148148,0.10537037037037036,0.4338888888888888,,,
rep4,rotate,all,72,65,7,0.09722222222222222,12,-1.1235784643646067,-1.537756053275959,-0.5796699249986084,-0.010375948339876099,-0.0899746824459918,0.060100245760751826,,,
rep4,rotate,c_n=0.0,12,12,0,0.0,12,-0.00022455056508352556,-0.00022455056508352556,-0.00022455056508352556,0.0,0.0,0.0,,,
rep4,rotate,c_n=0.5,12,12,0,0.0,12,-0.12329687621332415,-0.3183160561032921,0.034591631856229654,-0.05495577833276385,-0.12415644666438864,0.002777777777777775,,,
rep4,rotate,c_n=1.0,12,10,2,0.16666666666666666,10,-1.278407595799718,-1.5909084684542028,-0.928880664986063,-0.20872025857126486,-0.39562293422485967,-0.04479017422027326,,,
rep4,rotate,c_n=1.5,12,11,1,0.08333333333333333,11,-1.8498819383681193,-2.583335735567302,-0.9528253842146859,-0.03607506232669093,-0.23570166010795082,0.17001266807345788,,,
rep4,rotate,c_n=2.0,12,10,2,0.16666666666666666,10,-2.1138418836572,-3.048689871331056,-0.8542656961398848,0.07851113435928951,-0.03273886564071047,0.19102599605160495,,,
rep4,rotate,c_n=3.0,12,10,2,0.16666666666666666,10,-1.727914694574006,-2.656225578129291,-0.5040425124824048,0.1683949625614573,0.06988762735619684,0.2766854166666666,,,
rep4,shared,all,72,46,26,0.3611111111111111,12,-1.4878820671994575,-1.768116334238041,-1.0568690916870405,0.0393603135708144,-0.11575828544329923,0.19838462233401694,,,
rep4,shared,c_n=0.0,12,12,0,0.0,12,-2.2526582082127433e-05,-3.37203343709902e-05,-5.735953648833281e-06,0.0,0.0,0.0,,,
rep4,shared,c_n=0.5,12,6,6,0.5,6,-0.6068013588243358,-0.8093823361424172,-0.4428222252262964,-0.04692710322701791,-0.20496531756514694,0.10013888888888815,,,
rep4,shared,c_n=1.0,12,6,6,0.5,6,-1.6515726456831856,-1.9284686358821401,-1.3755098604724452,-0.2058359515155194,-0.39526678200611953,-0.016405121024919284,,,
rep4,shared,c_n=1.5,12,7,5,0.4166666666666667,7,-2.447427962773239,-2.9295837325841236,-1.829049284956373,-0.071986778715047,-0.3889501922856034,0.2079103083248972,,,
rep4,shared,c_n=2.0,12,7,5,0.4166666666666667,7,-2.5686695488620432,-3.243677969092506,-1.7897371018187729,0.20567216094207932,-0.13257083995828836,0.5246261609258558,,,
rep4,shared,c_n=3.0,12,8,4,0.3333333333333333,8,-2.472422270462243,-3.2354118921263715,-1.5582599064941856,0.29891938464043244,0.07991294635432714,0.5504122295067531,,,
keyword_hit,centred,all,72,69,3,0.041666666666666664,12,-0.839088928593454,-1.4060883640146586,-0.22359235138398317,,,,-0.029071276535571625,-0.08453573772042944,0.0007016619436995473
keyword_hit,centred,c_n=0.0,12,12,0,0.0,12,-0.00016305446624720332,-0.00016305446624720332,-0.00016305446624720332,,,,0.0,0.0,0.0
keyword_hit,centred,c_n=0.5,12,11,1,0.08333333333333333,11,0.011767525251465455,-0.03288607675499393,0.05340163588403434,,,,-0.00014694682746330573,-0.0005500405915900261,0.00010920010920010894
keyword_hit,centred,c_n=1.0,12,10,2,0.16666666666666666,10,-0.5704820196936333,-1.1835874724196647,-0.018637719016108625,,,,-0.006786997442794933,-0.01936063497010368,0.00021796566787375457
keyword_hit,centred,c_n=1.5,12,12,0,0.0,12,-1.314106497979873,-2.1709744960530726,-0.3774552426993388,,,,-0.03044376416536092,-0.09340424652346478,0.002176614809442132
keyword_hit,centred,c_n=2.0,12,12,0,0.0,12,-1.668866754718243,-2.673792721161648,-0.46993638860469783,,,,-0.07299994755824661,-0.20277251707366342,0.0012719509055939041
keyword_hit,centred,c_n=3.0,12,12,0,0.0,12,-1.3770102473171448,-2.4674821438887897,-0.1305358034354799,,,,-0.05792559589509216,-0.19427723350801787,0.019102852015360335
keyword_hit,diffmeans,all,72,64,8,0.1111111111111111,12,-0.6216862485132941,-1.1930025856725246,-0.04409250580729472,,,,-0.04393797289094256,-0.11057522939250941,0.0016601068621042137
keyword_hit,diffmeans,c_n=0.0,12,12,0,0.0,12,-0.00014913413259694716,-0.00017268657684299527,-0.00011512438456199685,,,,0.0,0.0,0.0
keyword_hit,diffmeans,c_n=0.5,12,10,2,0.16666666666666666,10,0.18589239770043026,-0.12496973747593046,0.6127060085378695,,,,0.0010539000423741914,1.7522047155585703e-05,0.0023658772817416562
keyword_hit,diffmeans,c_n=1.0,12,9,3,0.25,9,0.06390530579705948,-0.4563369606053715,0.621086556062565,,,,-0.006230901197999207,-0.02002226888179108,0.0016469984028653342
keyword_hit,diffmeans,c_n=1.5,12,10,2,0.16666666666666666,10,-1.12274784804783,-2.017013633056925,-0.16141503671734883,,,,-0.03576368007935972,-0.11203089201009744,0.004551604729001616
keyword_hit,diffmeans,c_n=2.0,12,11,1,0.08333333333333333,11,-1.5181174877090229,-2.615427610818614,-0.29710527446247637,,,,-0.07989446585537321,-0.2052104853084674,0.0014391696120522185
keyword_hit,diffmeans,c_n=3.0,12,12,0,0.0,12,-1.1911192649299955,-2.3835845388194272,0.19453320934257426,,,,-0.12750126912161425,-0.32095009330705593,0.003422872705669801
keyword_hit,diffmeans_purified,all,72,64,8,0.1111111111111111,12,-0.6046927892290438,-1.1703937867158807,-0.031216344993933002,,,,-0.043531264034846806,-0.1079106380765965,0.0019509001320056928
keyword_hit,diffmeans_purified,c_n=0.0,12,12,0,0.0,12,-0.00015474955240879495,-0.00015474955240879495,-0.00015474955240879495,,,,0.0,0.0,0.0
keyword_hit,diffmeans_purified,c_n=0.5,12,10,2,0.16666666666666666,10,0.21556632230099498,-0.10533648654299983,0.7014343415265556,,,,0.002017541474415157,0.0007033442533442521,0.0037424884349844868
keyword_hit,diffmeans_purified,c_n=1.0,12,9,3,0.25,9,0.08631282352657221,-0.4411862781102457,0.5942661661925654,,,,-0.005448696218179813,-0.01700615351306339,0.0015100789288861015
keyword_hit,diffmeans_purified,c_n=1.5,12,10,2,0.16666666666666666,10,-1.1207770292291606,-2.06258693656809,-0.1688130042320569,,,,-0.03541730048858357,-0.1107898485722614,0.00449220389500743
keyword_hit,diffmeans_purified,c_n=2.0,12,11,1,0.08333333333333333,11,-1.4948481485550962,-2.5691897232645506,-0.2743865149354606,,,,-0.07933190250256218,-0.20451346564182354,0.0022475662846129746
keyword_hit,diffmeans_purified,c_n=3.0,12,12,0,0.0,12,-1.1649883520317772,-2.437954302062985,0.12813645477510044,,,,-0.12752617621639242,-0.3219150024923706,0.00361566799064293
keyword_hit,dirfix,all,72,70,2,0.027777777777777776,12,-1.1422506752905772,-1.6352342466774807,-0.5422383697743212,,,,-0.026942222440527255,-0.08162425567783368,0.01114051022436839
keyword_hit,dirfix,c_n=0.0,12,12,0,0.0,12,-0.0001734097798662404,-0.0001734097798662404,-0.0001734097798662404,,,,0.0,0.0,0.0
keyword_hit,dirfix,c_n=0.5,12,11,1,0.08333333333333333,11,-0.22181115579709376,-0.29260899431310344,-0.14649302498433875,,,,0.004117731146480955,0.0008960754880365954,0.008684508589163047
keyword_hit,dirfix,c_n=1.0,12,12,0,0.0,12,-1.1166232315193876,-1.4658652850309315,-0.7571021335056544,,,,0.012683770522526705,8.674962725807429e-05,0.031124304317883777
keyword_hit,dirfix,c_n=1.5,12,12,0,0.0,12,-1.8693168659096788,-2.608143622991299,-1.058050455377965,,,,-0.01788698222120629,-0.08895504394321918,0.024466709061349175
keyword_hit,dirfix,c_n=2.0,12,12,0,0.0,12,-2.0947118563526153,-3.0343820518054025,-1.0123356915109385,,,,-0.06675019954745867,-0.19215106373242052,0.01206274607334659
keyword_hit,dirfix,c_n=3.0,12,11,1,0.08333333333333333,11,-1.5043381994394387,-2.6659606415093475,-0.1811743759258982,,,,-0.09707360713586723,-0.2424756639380753,0.0024942174090780813
keyword_hit,purified,all,72,68,4,0.05555555555555555,12,-0.7999548861122912,-1.3518447270830976,-0.2096967196115978,,,,-0.03225821888982657,-0.08880889898413087,0.0005183060007014848
keyword_hit,purified,c_n=0.0,12,12,0,0.0,12,-8.115768432611266e-05,-0.00011159181594840491,-5.072355270382042e-05,,,,0.0,0.0,0.0
keyword_hit,purified,c_n=0.5,12,10,2,0.16666666666666666,10,0.19877174878477036,-0.014228600471129163,0.5297325071220594,,,,0.0009639636720544665,5.522522522522512e-05,0.0022316221782082983
keyword_hit,purified,c_n=1.0,12,10,2,0.16666666666666666,10,-0.4026318264504275,-0.8970805885121228,-0.01231167183319765,,,,-0.006043383396288026,-0.015598685800558116,-0.00010563194773721113
keyword_hit,purified,c_n=1.5,12,12,0,0.0,12,-1.3252782239603809,-2.174982582503156,-0.35109827577103764,,,,-0.03064196805397631,-0.09388788950523158,0.0017149432087410314
keyword_hit,purified,c_n=2.0,12,12,0,0.0,12,-1.730910078362631,-2.766181716728887,-0.5412036887129339,,,,-0.0729788418856449,-0.1872894057124393,0.0013921989610408696
keyword_hit,purified,c_n=3.0,12,12,0,0.0,12,-1.306924829907597,-2.521524526202401,-0.04545702547544579,,,,-0.07494291399920139,-0.21320182341513763,0.0015277777777777746
keyword_hit,rotate,all,72,64,8,0.1111111111111111,12,-0.8569425556975487,-1.4287072684023625,-0.23416097476641984,,,,-0.0297980815584123,-0.08904226233406817,0.0004946946738032072
keyword_hit,rotate,c_n=0.0,12,12,0,0.0,12,-0.00022455056508352556,-0.00022455056508352556,-0.00022455056508352556,,,,0.0,0.0,0.0
keyword_hit,rotate,c_n=0.5,12,10,2,0.16666666666666666,10,-0.02766189668756529,-0.13634921317792031,0.08056107741271785,,,,0.0014158594412231342,-0.00017905561405561401,0.00398981709889205
keyword_hit,rotate,c_n=1.0,12,9,3,0.25,9,-0.502202267182051,-1.1193679399306722,0.17447604330240266,,,,-0.005695464756475941,-0.015826592179130378,-3.329791780084181e-05
keyword_hit,rotate,c_n=1.5,12,9,3,0.25,9,-1.2395557119188085,-2.2784254174337986,-0.0978100384944565,,,,-0.040730128368651634,-0.12326572393741911,0.0017404146570813202
keyword_hit,rotate,c_n=2.0,12,12,0,0.0,12,-1.6725843693024984,-2.667903933071265,-0.5608755840717613,,,,-0.07369304743683036,-0.18838883436197673,0.0006897522522522505
keyword_hit,rotate,c_n=3.0,12,12,0,0.0,12,-1.5681813122873958,-2.6163785378326367,-0.45550565892924616,,,,-0.05159074223187551,-0.19584891958500827,0.03927045970814852
keyword_hit,shared,all,72,71,1,0.013888888888888888,12,-1.6115466037995094,-1.9936390003200124,-1.1796477200271074,,,,0.04463114500188721,-0.041467547576924814,0.14776871753695628
keyword_hit,shared,c_n=0.0,12,12,0,0.0,12,-2.2526582082127433e-05,-3.37203343709902e-05,-5.735953648833281e-06,,,,0.0,0.0,0.0
keyword_hit,shared,c_n=0.5,12,12,0,0.0,12,-0.6946421316651703,-0.8805164743324139,-0.5165222750901802,,,,0.04780948051681932,0.00827510411358599,0.1097102974486695
keyword_hit,shared,c_n=1.0,12,12,0,0.0,12,-1.825732649432588,-2.036077645131041,-1.5879284477269526,,,,0.10269965637724043,0.027772807936970283,0.21937848070974061
keyword_hit,shared,c_n=1.5,12,12,0,0.0,12,-2.4152329346961787,-3.036654664674804,-1.6628665303069252,,,,0.05739047829658511,-0.05828567140880145,0.18549012170249968
keyword_hit,shared,c_n=2.0,12,12,0,0.0,12,-2.492611473950339,-3.3465974859414374,-1.4765048018621545,,,,-0.00032101942119427523,-0.17176688413251867,0.15790746060400299
keyword_hit,shared,c_n=3.0,12,11,1,0.08333333333333333,11,-2.298264388531716,-3.280378984216322,-1.1590380881320352,,,,0.06162437690005314,-0.15238344915690832,0.27654912895838485
