token_id,token_str,count,base_mean,delta_mean
2716, released,50,-3.2432423822209238,-3.4078590877726676
3781, analysis,21,-4.3194733162720995,-3.406861062560763
2458, changes,32,-4.558823268394917,-3.3998804171569645
2728, cause,34,-5.027729278663173,-3.3987071241169957
3403, conditions,26,-3.6117961874518256,-3.3941933228276095
3190, completely,23,-6.21372073629628,-3.3932167758112373
2866, speed,23,-4.499840100660272,-3.3923644172432637
3052, website,30,-3.1019915605584782,-3.3921663160125415
635, also,297,-3.345906122507659,-3.3807240268827017
3499, interesting,23,-3.713872119784355,-3.380178947811541
1730, deal,57,-3.237727640229359,-3.3787568679504227
777, these,156,-4.132709454076412,-3.377005407634454
4058, ahead,23,-4.097504242606785,-3.3728446545808213
2081, true,24,-4.817630548068943,-3.371200197647947
1607, expect,31,-4.374691801686441,-3.3697520148369566
576,ile,28,-1.412559865442745,-3.36972783796851
4466, budget,25,-4.260229524672031,-3.3691118106245996
6796, GOP,23,-5.280876766080442,-3.3690178860788764
606, them,222,-2.2830191031937397,-3.3678589402656027
1944, present,24,-4.97199347615242,-3.365209847688675
5052, judge,22,-3.78073662773452,-3.355981905521317
1088, around,101,-4.116327755743324,-3.3526508971163542
2579, 28,21,-4.440540126480517,-3.345885462837205
1176, power,71,-4.179702754677634,-3.3409841662120323
1989, area,36,-3.285636897716257,-3.340244741075569
4884, issued,23,-3.7672717266756557,-3.3373317712027095
2067, started,44,-4.552437917752699,-3.3342048200694006
3414, announced,48,-3.435038147804638,-3.3340094800417623
2428, issues,48,-3.5216870441642336,-3.330029861668057
84,u,29,-1.875577937245343,-3.3255011965563335
4249, nor,21,-3.163612999465494,-3.3238332348742654
995, world,173,-2.518572925879503,-3.3210909628412604
514, us,105,-2.4238961305093696,-3.3177207347647277
1243, things,80,-3.507031843473669,-3.316762200335506
3894, Well,21,-5.414293118885586,-3.3112871873946412
1803, press,37,-4.825024290973119,-3.310415804681896
2147, nothing,38,-4.459224747493863,-3.3084556653507446
2221, begin,21,-5.717455307642619,-3.3066425437018987
540,able,35,-1.6208086532657036,-3.295926980090527
4445, daily,24,-4.947309881053418,-3.2922679227073486
4334, heavy,22,-5.1526500826108865,-3.2912136858583168
3096, board,27,-3.2938043539378903,-3.2887263246914333
1296, form,33,-3.15258366061431,-3.2879124661964
2641, inside,24,-6.153268093864123,-3.2874155292908354
4819, politics,25,-3.9729728600382805,-3.284897966682911
3081, quality,25,-5.110842208862305,-3.284298486709595
1366, data,46,-3.4507090565950973,-3.2838174584119217
1502, order,44,-2.5780161611566488,-3.277375515973704
2253, America,52,-3.5723444905776818,-3.271714848358757
2901, July,27,-4.3375620135554565,-3.26031611583851
1583, Dr,25,-5.068828638787381,-3.2599191582249487
4896, investment,25,-4.28959881901741,-3.2527612674236295
1807, thought,45,-4.360624153084225,-3.251832772625818
2708, article,30,-2.609259236487075,-3.2512784256216642
85,v,28,-3.233180454333446,-3.248714860262615
2766, leaders,28,-3.4796788735049113,-3.2442578928811208
2258, North,33,-3.9695647634340054,-3.2377805271835043
0,!,92,-3.6258049507801924,-3.234775885440088
3329, morning,40,-3.3352715872228145,-3.2340453781187537
3278, poll,33,-3.244734911756082,-3.2322400009090253
2106, history,51,-3.614711872795049,-3.2317619238998376
3418, County,35,-1.243829003402165,-3.229222559928894
2877, living,27,-4.388904130017316,-3.2273278942814576
1622, season,74,-2.4261734021085823,-3.2254324923281255
2993, knew,27,-4.173209375805325,-3.2168752970518897
1004, Le,21,-5.333797828859782,-3.215648413336438
4837, researchers,30,-3.478903090953827,-3.213304928938548
2692, Israel,44,-3.1999220732329623,-3.2073477201602976
3073, looks,29,-4.453568840848988,-3.203641607843596
3381, term,25,-2.4428240422904492,-3.202934743911028
2214, field,29,-3.7908444753523107,-3.20195571620633
2582, soon,29,-3.775102655114285,-3.2012610448973957
1644, police,48,-3.5086105396039784,-3.193977017731716
1201, since,112,-3.5702695314830635,-3.193646765667446
2936, felt,25,-4.894436283111572,-3.1864703941345223
1109, fact,56,-2.7531397047922446,-3.1847848463200665
2354, outside,33,-4.874969198848262,-3.1777910192807504
477, all,417,-3.7780269666878357,-3.174748315860722
2055, community,45,-3.946322073870235,-3.1711905456251563
1729, non,42,-5.338039428173077,-3.170627785403103
2158, however,42,-4.0528807159280404,-3.169894476559767
2995, events,28,-4.103015997457468,-3.169059943796518
3306, necessary,21,-4.7924462386540005,-3.163617281686692
1613, past,82,-2.938149491838952,-3.1603141336037393
2805, March,35,-3.6649921670223455,-3.157320294456024
6085, Israeli,24,-4.031379327178001,-3.1561964005231857
1528, days,73,-2.1562188458379774,-3.1529073177269513
2405, themselves,32,-2.348279288817139,-3.152560340393393
1933, months,72,-2.214847590205156,-3.151365383786874
1363, home,67,-3.496402684865005,-3.151290730376895
3596, Day,32,-1.7512367824310786,-3.1502132804962457
3840, reasons,42,-3.849444478927624,-3.1484124786442234
3421, changed,22,-3.9199999299916355,-3.1454084732315755
435, al,24,-2.7204832370140744,-3.143555122049293
3056, oil,40,-3.3031825253623537,-3.1407607531291437
2267, research,61,-3.6468557455256336,-3.130668692535064
400,th,84,-0.9505507201365184,-3.125957138451798
2811, average,45,-3.0060981448325848,-3.1249093285037413
2011, My,27,-4.973223789698547,-3.1247086726405
2620, increase,33,-3.4677154008637774,-3.124010259229126
790, every,113,-4.617872429265748,-3.1199162082573553
2277, hit,42,-4.584725143565309,-3.118564622121907
1165, too,86,-4.0214408113036395,-3.116767683326331
1074, team,118,-3.0713827357848444,-3.1129067428646833
1143,ized,25,-0.8265795323438943,-3.111190760415047
2828, officials,42,-2.7287061295161643,-3.1089393131967102
1107, really,81,-4.9361057261258,-3.1074661404630275
1439, All,25,-4.525781965712667,-3.106022952934145
2592, especially,24,-4.517656897505124,-3.1046679466962814
4969, Korea,22,-0.7050900235031308,-3.104112688187425
3367, son,33,-3.3545070266012442,-3.104108619616564
3484, costs,35,-3.3186288762305463,-3.094051613445793
3511, yourself,24,-3.8194580792138972,-3.091481057927013
314, I,880,-2.3108608042578864,-3.0909297663538546
4268, drop,21,-4.0518277649368555,-3.0890162736177444
3940, followed,27,-5.002117692320435,-3.087017044976906
2159, World,61,-2.4643495468333074,-3.085954534763004
860, 9,47,-4.190129819058595,-3.0837297619597868
5041, weekend,23,-3.037046334017878,-3.0815558796343594
1241, level,52,-2.2468658529866774,-3.077292376520256
2636, dead,23,-3.3839083284382587,-3.0725182557640514
