feature,c,arm,total_energy,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
14434,1.0,naive,2149.2548828125,379.361083984375,281.51165771484375,330.693603515625,273.10418701171875,205.00262451171875,160.85958862304688,160.76657104492188,95.80532836914062,60.44479751586914,51.164398193359375,44.74310302734375,30.624713897705078,26.90766716003418,17.776803970336914,16.638891220092773,13.849945068359375
14434,1.0,denoise_naive,1214.102783203125,205.89027404785156,149.478515625,157.454345703125,131.6688995361328,106.08004760742188,85.85369873046875,83.26113891601562,60.51267623901367,44.81017303466797,39.337921142578125,36.609039306640625,29.081897735595703,25.556964874267578,22.97675323486328,19.741748809814453,15.788626670837402
14434,1.0,cds,2716.47119140625,518.1329345703125,359.9067687988281,389.4212646484375,317.9806823730469,245.9056396484375,192.96188354492188,188.54388427734375,123.29963684082031,82.3430404663086,69.74751281738281,63.429988861083984,45.505462646484375,38.503055572509766,31.836828231811523,27.08545684814453,21.86701202392578
14434,1.0,mts,10104.75,9611.0390625,212.64370727539062,120.42835998535156,69.53803253173828,37.43907928466797,21.350341796875,15.725805282592773,7.271259307861328,3.5204358100891113,2.2878365516662598,1.5496950149536133,0.8108310699462891,0.5698671340942383,0.2852489948272705,0.2034078687429428,0.08654440939426422
14434,2.0,naive,8597.01953125,1517.4442138671875,1126.046630859375,1322.7744140625,1092.4166259765625,820.010498046875,643.4384155273438,643.0662841796875,383.2213134765625,241.77919006347656,204.6575927734375,178.972412109375,122.49885559082031,107.63066101074219,71.10720825195312,66.5555648803711,55.3997688293457
14434,2.0,denoise_naive,2609.90234375,542.6707763671875,333.92657470703125,318.57318115234375,260.41998291015625,212.43353271484375,169.6661376953125,159.44686889648438,123.58443450927734,94.37702941894531,81.40757751464844,74.7967758178711,60.602378845214844,53.094303131103516,50.14712142944336,40.94608688354492,33.809417724609375
14434,2.0,cds,10314.96875,2124.487548828125,1397.5126953125,1501.8955078125,1212.009521484375,925.740478515625,713.054931640625,697.0574340820312,447.53155517578125,289.2303161621094,239.9630126953125,217.6549530029297,151.2375030517578,126.24479675292969,105.71662139892578,87.04191589355469,78.58985900878906
14434,2.0,mts,40419.0,38444.15625,850.5748291015625,481.71343994140625,278.15216064453125,149.75631713867188,85.4013671875,62.903221130371094,29.085037231445312,14.081742286682129,9.151345252990723,6.198780059814453,3.2433245182037354,2.279468536376953,1.1409960985183716,0.8136315941810608,0.3461776375770569
8925,1.0,naive,1792.40087890625,334.80615234375,314.0632019042969,175.80430603027344,209.46188354492188,163.88938903808594,124.06845092773438,101.27832794189453,103.57782745361328,62.92616271972656,65.1820068359375,41.303466796875,20.452632904052734,22.420875549316406,19.409400939941406,16.591875076293945,17.16497039794922
8925,1.0,denoise_naive,1209.32275390625,256.7559814453125,192.10165405273438,105.09725952148438,122.33525085449219,99.721923828125,79.89388275146484,66.55145263671875,60.936485290527344,45.10332489013672,43.78620910644531,34.41847610473633,23.607038497924805,23.14935874938965,20.45067024230957,18.692859649658203,16.720991134643555
8925,1.0,cds,2239.94384765625,502.5863952636719,384.20135498046875,205.42550659179688,238.818359375,189.49041748046875,147.30538940429688,119.4810791015625,111.60584259033203,75.78573608398438,74.49156188964844,53.46369171142578,31.394512176513672,31.60427474975586,27.092952728271484,24.40962028503418,22.78717041015625
8925,1.0,mts,7212.3046875,6820.8369140625,207.49685668945312,63.968650817871094,49.4083366394043,28.43336296081543,15.872137069702148,9.780723571777344,7.325211048126221,3.5091540813446045,2.7610602378845215,1.3703840970993042,0.5189404487609863,0.4537199139595032,0.28787457942962646,0.18750080466270447,0.09466183930635452
8925,2.0,naive,7169.60400390625,1339.224609375,1256.252685546875,703.21728515625,837.8475341796875,655.5575561523438,496.2738037109375,405.1133117675781,414.31134033203125,251.70465087890625,260.7279968261719,165.2138671875,81.81053924560547,89.68350219726562,77.63760375976562,66.36750030517578,68.65987396240234
8925,2.0,denoise_naive,2962.87353515625,787.755126953125,472.93975830078125,244.8022003173828,278.4599914550781,224.6849365234375,180.78143310546875,149.8790740966797,127.34183502197266,98.73612976074219,91.45146179199219,75.89176177978516,53.26144027709961,50.22853088378906,45.047576904296875,40.94055938720703,40.67176818847656
8925,2.0,cds,8672.783203125,2145.44873046875,1525.6259765625,771.6719970703125,913.95703125,717.0588989257812,551.891845703125,442.96990966796875,403.3148193359375,271.5089111328125,263.8273620605469,189.62860107421875,104.9986801147461,106.11406707763672,91.28433990478516,82.87303161621094,90.60867309570312
8925,2.0,mts,28849.220703125,27283.34765625,829.9874267578125,255.87460327148438,197.63336181640625,113.73345184326172,63.488548278808594,39.122894287109375,29.30084228515625,14.036617279052734,11.044242858886719,5.481537342071533,2.075761556625366,1.8148791790008545,1.1514983177185059,0.7500033378601074,0.3786473572254181
23860,1.0,naive,1442.726318359375,319.07342529296875,183.75531005859375,205.54971313476562,133.13153076171875,146.53729248046875,121.63668060302734,54.310951232910156,76.39283752441406,48.0509033203125,35.894317626953125,24.972721099853516,22.99243927001953,20.68687629699707,19.69501304626465,16.892024993896484,13.154288291931152
23860,1.0,denoise_naive,964.9006958007812,204.74917602539062,115.97689819335938,113.74429321289062,84.32852172851562,82.45365905761719,73.85829162597656,44.9154052734375,49.496055603027344,37.8309440612793,31.585205078125,27.06954002380371,23.97125244140625,22.031097412109375,20.08782196044922,17.69320297241211,15.109383583068848
23860,1.0,cds,1863.2763671875,443.9913024902344,242.59365844726562,240.9459228515625,167.69424438476562,167.78286743164062,145.48477172851562,76.5618667602539,90.84651184082031,63.13999938964844,49.20683288574219,38.9656982421875,33.77704620361328,30.495285034179688,27.791053771972656,24.019433975219727,19.97998809814453
23860,1.0,mts,7119.4794921875,7013.7841796875,46.468605041503906,26.408245086669922,11.69290828704834,9.077692985534668,5.760797500610352,1.8984616994857788,2.004441499710083,0.9539823532104492,0.5585068464279175,0.30021342635154724,0.2163521945476532,0.1522516906261444,0.10868994891643524,0.07036317884922028,0.023159991949796677
23860,2.0,naive,5770.90478515625,1276.29345703125,735.021240234375,822.1988525390625,532.526123046875,586.149169921875,486.5467529296875,217.2438201904297,305.5713806152344,192.20361328125,143.5772705078125,99.89088439941406,91.96975708007812,82.74750518798828,78.78005981445312,67.56809997558594,52.61715316772461
23860,2.0,denoise_naive,2378.610595703125,633.3292236328125,294.27349853515625,259.21356201171875,200.69717407226562,177.00238037109375,161.87400817871094,106.64873504638672,106.90171813964844,84.40300750732422,71.8466796875,62.26404571533203,52.99859619140625,48.5579948425293,43.43632507324219,37.405677795410156,37.757911682128906
23860,2.0,cds,7176.38232421875,1930.3128662109375,945.4305419921875,916.1380004882812,636.0679931640625,616.6508178710938,538.6749267578125,272.9208984375,324.6946716308594,222.04873657226562,171.31256103515625,134.2062530517578,112.77510833740234,102.30674743652344,93.22395324707031,79.96690368652344,79.65138244628906
23860,2.0,mts,28477.91796875,28055.13671875,185.87442016601562,105.63299560546875,46.771629333496094,36.310768127441406,23.04318618774414,7.593845367431641,8.017766952514648,3.8159284591674805,2.23402738571167,1.2008531093597412,0.8654085397720337,0.6090064644813538,0.4347599148750305,0.2814527750015259,0.0926399901509285
5843,1.0,naive,294.4944152832031,52.443748474121094,35.96543884277344,31.40606689453125,28.21561050415039,24.26120376586914,17.088665008544922,20.176795959472656,18.938858032226562,11.218870162963867,9.1253662109375,13.107169151306152,7.576889991760254,7.978446960449219,6.994518756866455,5.799234390258789,4.19753360748291
5843,1.0,denoise_naive,291.5067138671875,48.110198974609375,32.114498138427734,27.441940307617188,25.273128509521484,22.510547637939453,17.371612548828125,19.096073150634766,18.123552322387695,13.276683807373047,11.796456336975098,13.550153732299805,9.767066955566406,10.069230079650879,8.921199798583984,7.897881031036377,6.186513900756836
5843,1.0,cds,373.6960754394531,69.9128646850586,45.79351806640625,38.3075065612793,34.585731506347656,30.123390197753906,21.81591033935547,24.603530883789062,22.920761108398438,15.11228084564209,12.74234676361084,15.807130813598633,9.897684097290039,10.495492935180664,8.904808044433594,7.498113632202148,5.175018310546875
5843,1.0,mts,1618.1331787109375,1567.651611328125,22.653661727905273,10.817320823669434,6.2124104499816895,3.9053189754486084,2.009364128112793,1.7720825672149658,1.2728500366210938,0.5584755539894104,0.3618970513343811,0.4021368622779846,0.18344813585281372,0.14672690629959106,0.09981900453567505,0.061584003269672394,0.0247102789580822
5843,2.0,naive,1177.9776611328125,209.77496337890625,143.8617706298828,125.624267578125,112.86244201660156,97.04481506347656,68.35466003417969,80.70719146728516,75.75543975830078,44.87548065185547,36.50146484375,52.42867660522461,30.307559967041016,31.913789749145508,27.978076934814453,23.19693946838379,16.79013442993164
5843,2.0,denoise_naive,834.0050048828125,154.3650360107422,96.90611267089844,78.98078155517578,74.21015930175781,65.2958755493164,49.353031158447266,53.37842559814453,50.29071807861328,36.786128997802734,32.3887825012207,35.52178192138672,24.78373908996582,26.24506187438965,21.986690521240234,19.199222564697266,14.313457489013672
5843,2.0,cds,1500.7161865234375,307.31494140625,187.7029266357422,151.24551391601562,137.90541076660156,119.14027404785156,85.7392807006836,95.23616027832031,88.71112060546875,59.18464279174805,49.988460540771484,59.77867889404297,37.181060791015625,40.425193786621094,33.10729217529297,28.132259368896484,19.922927856445312
5843,2.0,mts,6472.53271484375,6270.6064453125,90.61463928222656,43.269287109375,24.84964370727539,15.62127685546875,8.037456512451172,7.08833122253418,5.091400146484375,2.2339026927948,1.4475877285003662,1.6085474491119385,0.7337923049926758,0.5869075059890747,0.39927589893341064,0.24633604288101196,0.09884120523929596
13094,1.0,naive,3050.55126953125,687.463623046875,572.30322265625,440.59912109375,349.52642822265625,202.02093505859375,184.50106811523438,176.7230224609375,136.6737060546875,63.84432601928711,45.7285041809082,45.45225143432617,42.41361999511719,32.1810302734375,27.224151611328125,22.13835334777832,21.757911682128906
13094,1.0,denoise_naive,1951.589111328125,450.95416259765625,335.72125244140625,268.7431335449219,182.08892822265625,124.65023803710938,110.33309936523438,94.96139526367188,85.67430114746094,56.48494338989258,47.28676986694336,42.55705261230469,40.818790435791016,34.72639083862305,30.56924057006836,25.632068634033203,20.38726806640625
13094,1.0,cds,3919.552734375,969.858642578125,726.7532958984375,567.4259033203125,393.0881042480469,248.53070068359375,218.983154296875,190.61590576171875,162.9322509765625,90.87178802490234,70.66157531738281,64.0861587524414,61.812801361083984,49.04458236694336,42.40625,34.05619812011719,28.42546272277832
