feature,c,cos,c_matched,fix_logppl,fix_concept,naive_logppl,naive_concept,matched_logppl,matched_concept
15503,1.0,0.9283879995346069,0.9283879995346069,4.462324333190918,0.0,4.901924872398377,0.06666666666666667,4.758410224763826,0.06666666666666667
15503,1.25,0.9283879995346069,1.1604849994182587,4.992898352940878,0.0,5.877960761388143,0.23333333333333334,5.528481348705266,0.17365666627883913
15503,1.5,0.9283879995346069,1.3925819993019104,5.035630051294962,0.0,6.460036563873291,0.9,6.209934888042528,0.6135519981384278
15503,2.0,0.9283879995346069,1.8567759990692139,5.537244089444479,0.0,6.0135091781616214,0.9666666666666667,6.141416055575201,0.9475701332092286
15503,2.5,0.9283879995346069,2.3209699988365173,4.927281987667084,0.0,5.2558256467183435,0.9666666666666667,5.527121813750027,0.9666666666666667
15503,3.0,0.9283879995346069,2.785163998603821,4.543596033255259,0.03333333333333333,4.720423340797424,0.8333333333333334,4.9504707218821125,0.8906229337056478
16355,1.0,0.8878801465034485,0.8878801465034485,4.178109145164489,0.13333333333333333,4.724490650494894,0.1,4.528913620840162,0.10747465689977011
16355,1.25,0.8878801465034485,1.1098501831293106,4.7517165184021,0.3333333333333333,5.559594662984212,0.13333333333333333,5.091435965310788,0.11464669108390808
16355,1.5,0.8878801465034485,1.3318202197551727,5.479130140940348,0.1,6.099398676554362,0.03333333333333333,5.736262195044348,0.10060524543126423
16355,2.0,0.8878801465034485,1.775760293006897,6.294718074798584,0.06666666666666667,7.05260542233785,0.0,6.625111819581172,0.0149493137995402
16355,2.5,0.8878801465034485,2.219700366258621,5.1055696924527485,0.0,7.305545981725057,0.0,7.16374768941591,0.0
16355,3.0,0.8878801465034485,2.6636404395103455,4.552729940414428,0.0,7.29998418490092,0.0,7.303725711971519,0.0
17590,1.0,0.9010801315307617,0.9010801315307617,3.49554971853892,0.3333333333333333,3.663394538561503,0.4,3.606598844880379,0.3868106842041016
17590,1.25,0.9010801315307617,1.1263501644134521,3.503170045216878,0.5333333333333333,3.636500930786133,0.5,3.6498024915051475,0.45054006576538086
17590,1.5,0.9010801315307617,1.3516201972961426,3.732598574956258,0.5333333333333333,3.629738140106201,0.4,3.633751986293464,0.459351921081543
17590,2.0,0.9010801315307617,1.8021602630615234,3.6526093324025473,0.4,4.0922801971435545,0.5666666666666667,3.909261799369051,0.5007200876871745
17590,2.5,0.9010801315307617,2.2527003288269043,3.855382490158081,0.4666666666666667,4.368096590042114,0.6333333333333333,4.231677983506188,0.6003600438435872
17590,3.0,0.9010801315307617,2.703240394592285,4.197726424535116,0.5,4.504026699066162,0.6666666666666666,4.423349568032154,0.646882692972819
23860,1.0,0.9406224489212036,0.9406224489212036,4.539767972628275,0.8333333333333334,4.992749643325806,0.6333333333333333,4.854310891611748,0.5937482992808023
23860,1.25,0.9406224489212036,1.1757780611515045,4.988819559415181,0.9666666666666667,5.417005793253581,0.7,5.291049337189431,0.6802074829737345
23860,1.5,0.9406224489212036,1.4109336733818054,5.417221029599507,0.9666666666666667,6.000541543960571,0.7333333333333333,5.792648000897122,0.721457823117574
23860,2.0,0.9406224489212036,1.8812448978424072,5.917389726638794,1.0,6.5595098495483395,0.7,6.4267491730824755,0.7079170068105062
23860,2.5,0.9406224489212036,2.351556122303009,6.336485687891642,1.0,6.608907016118367,0.3333333333333333,6.594241602212569,0.44219217697779334
23860,3.0,0.9406224489212036,2.821867346763611,6.920093250274658,0.9666666666666667,6.26852486928304,0.23333333333333334,6.3897912191431905,0.26895986398061117
