feature,c,cos,c_matched,fix_logppl,fix_concept,naive_logppl,naive_concept,matched_logppl,matched_concept
4752,1.25,0.8602421283721924,1.0753026604652405,3.977930291493734,0.26666666666666666,4.232240955034892,0.5333333333333333,4.081251838826233,0.5100403547286987
4752,1.5,0.8602421283721924,1.2903631925582886,4.450756255785624,0.3,4.400590618451436,0.6333333333333333,4.259421474561313,0.5494786103566488
4752,2.0,0.8602421283721924,1.7204842567443848,4.982375065485637,0.23333333333333334,5.553728246688843,0.5666666666666667,4.909088004223251,0.603935432434082
4752,2.5,0.8602421283721924,2.150605320930481,5.7283769130706785,0.5666666666666667,5.8616142749786375,0.6666666666666666,5.646466794890034,0.5967877308527628
4752,3.0,0.8602421283721924,2.580726385116577,6.385877084732056,0.5333333333333333,6.157926448186239,0.6666666666666666,5.909454696196811,0.6666666666666666
6046,1.0,0.7550879716873169,0.7550879716873169,3.7625427921613057,0.03333333333333333,5.619142810503642,0.7333333333333333,4.942644028919477,0.5700586477915446
6046,1.25,0.7550879716873169,0.9438599646091461,3.779777197043101,0.0,6.200313329696655,0.36666666666666664,5.464072168193185,0.6959066430727641
6046,1.5,0.7550879716873169,1.1326319575309753,2.9815630336602528,0.0,6.868231646219889,0.26666666666666666,5.927469944983093,0.5388064622879027
6046,2.0,0.7550879716873169,1.5101759433746338,1.568224131067594,0.0,7.419258324305217,0.16666666666666666,6.879446078768106,0.2646314779917399
6046,2.5,0.7550879716873169,1.8877199292182922,1.1673865258693694,0.0,7.350824912389119,0.03333333333333333,7.295519695469157,0.1891226808230082
6046,3.0,0.7550879716873169,2.2652639150619507,1.0778967320919037,0.0,7.503396622339884,0.03333333333333333,7.382952494773394,0.09592962265014647
10134,1.0,0.9113994836807251,0.9113994836807251,4.894168933232625,0.4,6.170310242970785,0.2,5.750053655097715,0.1881865978240967
10134,1.25,0.9113994836807251,1.1392493546009064,6.306076733271281,0.4,6.912449296315511,0.23333333333333334,6.583679779780308,0.2185665806134542
10134,1.5,0.9113994836807251,1.3670992255210876,6.2546549320220945,0.13333333333333333,7.028794129689534,0.03333333333333333,6.966944855841423,0.1396539529164632
