feature,c,arm,A,C
23860,0.5,norm_preserving,19.419944763183594,0.13765329122543335
23860,0.5,denoise_naive,16.653470993041992,0.6296465396881104
23860,0.5,cds,22.7474365234375,0.3980526328086853
23860,0.5,mts,24.330276489257812,2.235365867614746
23860,1.0,naive,37.789329528808594,0.46735334396362305
23860,1.0,norm_preserving,38.188316345214844,0.42579251527786255
23860,1.0,denoise_naive,31.655914306640625,0.6948127746582031
23860,1.0,cds,44.98429870605469,0.9131734371185303
23860,1.0,mts,35.37311553955078,3.336250066757202
23860,1.5,naive,49.109962463378906,0.8027854561805725
23860,1.5,norm_preserving,50.27082824707031,0.7649434804916382
23860,1.5,denoise_naive,41.28302764892578,1.050685167312622
23860,1.5,cds,49.604713439941406,1.75933837890625
23860,1.5,mts,39.94081115722656,192.39920043945312
23860,2.0,naive,53.71207809448242,1.1261659860610962
23860,2.0,norm_preserving,54.808677673339844,1.1200487613677979
23860,2.0,denoise_naive,44.65055465698242,1.5747045278549194
23860,2.0,cds,46.55012512207031,3.124906301498413
23860,2.0,mts,43.07212829589844,5.978937149047852
23860,3.0,naive,55.4052619934082,1.6579630374908447
23860,3.0,norm_preserving,53.22489929199219,1.8249486684799194
23860,3.0,denoise_naive,41.885372161865234,6.592123985290527
23860,3.0,cds,44.98648452758789,3.405402183532715
23860,3.0,mts,47.78630828857422,12.918509483337402
5843,0.5,naive,8.70394515991211,0.08110835403203964
5843,0.5,norm_preserving,8.620600700378418,0.08139976114034653
5843,0.5,denoise_naive,7.598546981811523,1.1721030473709106
5843,0.5,cds,9.204458236694336,0.3336596190929413
5843,0.5,mts,8.963767051696777,3.4258031845092773
5843,1.0,naive,17.73013687133789,0.24957165122032166
5843,1.0,norm_preserving,17.55910873413086,0.21382325887680054
5843,1.0,denoise_naive,14.8812255859375,0.717600405216217
5843,1.0,cds,19.616966247558594,0.4499463140964508
5843,1.0,mts,17.70060920715332,6.586979389190674
5843,1.5,naive,26.70625877380371,0.4309879541397095
5843,1.5,norm_preserving,26.485706329345703,0.37330982089042664
5843,1.5,denoise_naive,21.772735595703125,0.6825308203697205
5843,1.5,cds,30.768781661987305,0.6956599950790405
5843,1.5,mts,25.809707641601562,5.416377067565918
5843,2.0,naive,35.15251922607422,0.6352944374084473
5843,2.0,norm_preserving,34.96979522705078,0.5530175566673279
5843,2.0,denoise_naive,28.045421600341797,0.7765669226646423
5843,2.0,cds,41.26543045043945,1.1806989908218384
5843,2.0,mts,31.203922271728516,7.331684112548828
5843,3.0,naive,48.35560607910156,1.1308330297470093
5843,3.0,norm_preserving,48.554832458496094,1.6250662803649902
5843,3.0,denoise_naive,37.9791374206543,1.183648943901062
5843,3.0,cds,54.683372497558594,1.9834152460098267
5843,3.0,mts,36.043846130371094,14.608570098876953
13094,0.5,naive,28.393516540527344,0.21734678745269775
13094,0.5,norm_preserving,28.13689422607422,0.19447624683380127
13094,0.5,denoise_naive,25.50258445739746,0.5627819895744324
13094,0.5,cds,35.93464660644531,0.47542959451675415
13094,0.5,mts,36.17017364501953,2.534799575805664
13094,1.0,naive,51.31733703613281,0.6994155645370483
13094,1.0,norm_preserving,51.8786735534668,0.6478949785232544
13094,1.0,denoise_naive,48.738502502441406,0.8677875399589539
13094,1.0,cds,60.102760314941406,1.548625111579895
13094,1.0,mts,43.82810592651367,3.3476293087005615
13094,1.5,naive,60.72206497192383,1.2483813762664795
13094,1.5,norm_preserving,61.47551727294922,1.2353219985961914
13094,1.5,denoise_naive,57.4636116027832,1.7398191690444946
13094,1.5,cds,58.76765060424805,2.730048418045044
13094,1.5,mts,46.23954772949219,4.249927997589111
13094,2.0,naive,62.63898849487305,1.9103444814682007
13094,2.0,norm_preserving,61.87931823730469,1.920478105545044
13094,2.0,denoise_naive,56.60795593261719,2.127283811569214
13094,2.0,cds,57.91326141357422,3.4334256649017334
13094,2.0,mts,48.797847747802734,5.604403495788574
13094,3.0,naive,63.1882438659668,2.306474208831787
13094,3.0,norm_preserving,58.83566665649414,2.721355438232422
13094,3.0,denoise_naive,52.52598571777344,3.2611448764801025
13094,3.0,cds,58.4765625,3.491243600845337
13094,3.0,mts,53.6640739440918,6.087090969085693
7998,0.5,naive,27.946399688720703,0.258730947971344
7998,0.5,norm_preserving,27.975435256958008,0.24413631856441498
7998,0.5,denoise_naive,20.727214813232422,0.6781524419784546
7998,0.5,cds,31.69038963317871,0.5191261768341064
7998,0.5,mts,38.409202575683594,5.784861087799072
7998,1.0,naive,52.3262939453125,0.9022696614265442
7998,1.0,norm_preserving,53.021507263183594,0.8732612133026123
7998,1.0,denoise_naive,38.12440872192383,0.904271125793457
7998,1.0,cds,54.32198715209961,2.4358577728271484
7998,1.0,mts,49.80704116821289,5.101866245269775
7998,1.5,naive,59.374210357666016,1.759098768234253
7998,1.5,norm_preserving,59.776309967041016,2.3094100952148438
7998,1.5,denoise_naive,45.00777053833008,1.7682514190673828
7998,1.5,cds,51.13334655761719,5.682581901550293
7998,1.5,mts,52.28628921508789,5.127872943878174
7998,2.0,naive,60.12482833862305,4.226160526275635
7998,2.0,norm_preserving,58.50350570678711,2.610891580581665
7998,2.0,denoise_naive,43.609031677246094,4.0163493156433105
7998,2.0,cds,50.05393981933594,4.581743240356445
7998,2.0,mts,55.53760528564453,7.174015045166016
7998,3.0,naive,62.78341293334961,3.0746214389801025
7998,3.0,norm_preserving,54.99651336669922,4.059844493865967
7998,3.0,denoise_naive,36.35742950439453,8.164907455444336
7998,3.0,cds,53.21979904174805,5.067664623260498
7998,3.0,mts,60.33247375488281,10.353364944458008
15503,0.5,naive,19.95298957824707,0.15244977176189423
15503,0.5,norm_preserving,19.932558059692383,0.14059680700302124
15503,0.5,denoise_naive,16.515522003173828,0.7073124647140503
15503,0.5,cds,22.500282287597656,0.43630826473236084
15503,0.5,mts,20.322673797607422,2.186600923538208
15503,1.0,naive,41.021724700927734,0.48801568150520325
15503,1.0,norm_preserving,41.31092071533203,0.4367741346359253
15503,1.0,denoise_naive,32.61076736450195,0.7818483710289001
15503,1.0,cds,51.399532318115234,1.0086424350738525
15503,1.0,mts,34.044288635253906,7.7214531898498535
15503,1.5,naive,58.7133903503418,0.8772655725479126
15503,1.5,norm_preserving,60.08929443359375,0.8084664344787598
15503,1.5,denoise_naive,45.86692810058594,1.249435305595398
15503,1.5,cds,64.82945251464844,2.0658483505249023
15503,1.5,mts,39.878021240234375,6.169900894165039
15503,2.0,naive,68.47372436523438,1.3073400259017944
15503,2.0,norm_preserving,70.99577331542969,1.2214139699935913
15503,2.0,denoise_naive,52.4006233215332,2.104576587677002
15503,2.0,cds,63.34428405761719,9.185088157653809
15503,2.0,mts,42.22842788696289,12.703939437866211
15503,3.0,naive,72.62301635742188,3.0545599460601807
15503,3.0,norm_preserving,72.49088287353516,2.3166418075561523
15503,3.0,denoise_naive,50.198097229003906,5.528993129730225
15503,3.0,cds,60.85735321044922,4.025527477264404
15503,3.0,mts,45.41754913330078,10.316892623901367
4151,0.5,naive,16.338794708251953,0.1542140245437622
4151,0.5,norm_preserving,16.406253814697266,0.13385333120822906
4151,0.5,denoise_naive,13.9335355758667,0.7131009101867676
4151,0.5,cds,18.065452575683594,0.3722386956214905
4151,0.5,mts,18.477537155151367,1.924699306488037
4151,1.0,naive,32.385494232177734,0.5094161033630371
4151,1.0,norm_preserving,32.95038604736328,0.4621202349662781
4151,1.0,denoise_naive,26.578428268432617,0.682780385017395
4151,1.0,cds,37.4116096496582,0.8531303405761719
4151,1.0,mts,26.149202346801758,2.8488051891326904
4151,1.5,naive,43.39299011230469,0.9537442922592163
4151,1.5,norm_preserving,44.8453483581543,0.8975816369056702
4151,1.5,denoise_naive,35.63418960571289,1.001042127609253
4151,1.5,cds,42.960777282714844,3.6721084117889404
4151,1.5,mts,28.481998443603516,3.922739028930664
4151,2.0,naive,47.19023132324219,1.5673145055770874
4151,2.0,norm_preserving,48.85967254638672,1.5546061992645264
4151,2.0,denoise_naive,39.550411224365234,1.6232136487960815
4151,2.0,cds,35.316246032714844,4.599783897399902
4151,2.0,mts,29.12080955505371,6.0618205070495605
4151,3.0,naive,44.04649353027344,3.6583104133605957
4151,3.0,norm_preserving,42.319332122802734,5.550889015197754
4151,3.0,denoise_naive,34.75966262817383,3.965489149093628
4151,3.0,cds,30.03438377380371,7.567248344421387
4151,3.0,mts,30.79683494567871,7.758960723876953
17590,0.5,naive,5.621545314788818,0.05515196919441223
17590,0.5,norm_preserving,5.632655620574951,0.057456325739622116
17590,0.5,denoise_naive,4.879141807556152,1.9869797229766846
17590,0.5,cds,6.008004665374756,0.33981853723526
17590,0.5,mts,6.693737506866455,1.488091230392456
17590,1.0,naive,11.454728126525879,0.16960814595222473
17590,1.0,norm_preserving,11.498913764953613,0.16499973833560944
17590,1.0,denoise_naive,9.926170349121094,0.9656170606613159
17590,1.0,cds,12.602751731872559,0.3869423568248749
17590,1.0,mts,13.42565631866455,1.4510109424591064
17590,1.5,naive,17.38199234008789,0.29207611083984375
17590,1.5,norm_preserving,17.496482849121094,0.28354495763778687
17590,1.5,denoise_naive,14.874700546264648,0.7478154897689819
17590,1.5,cds,19.664627075195312,0.4838791787624359
17590,1.5,mts,19.814918518066406,1.590126395225525
17590,2.0,naive,23.136096954345703,0.4244948923587799
17590,2.0,norm_preserving,23.363929748535156,0.41359755396842957
17590,2.0,denoise_naive,19.605974197387695,0.7154337763786316
17590,2.0,cds,26.78011131286621,0.6258293390274048
17590,2.0,mts,25.603893280029297,1.8913164138793945
17590,3.0,naive,32.64860153198242,0.7293523550033569
17590,3.0,norm_preserving,33.15074157714844,0.7197552919387817
17590,3.0,denoise_naive,27.827817916870117,0.8312259912490845
17590,3.0,cds,37.3903923034668,1.1129295825958252
17590,3.0,mts,34.32588577270508,13.454854965209961
835,0.5,naive,22.923078536987305,0.18136504292488098
835,0.5,norm_preserving,22.71288299560547,0.16410884261131287
835,0.5,denoise_naive,18.815000534057617,0.5956202149391174
835,0.5,cds,26.817235946655273,0.4066488742828369
835,0.5,mts,33.98692321777344,1.9035636186599731
835,1.0,naive,45.6497917175293,0.5703979730606079
835,1.0,norm_preserving,45.44272232055664,0.5302229523658752
835,1.0,denoise_naive,36.90341567993164,0.7207785248756409
835,1.0,cds,57.308746337890625,1.062036395072937
835,1.0,mts,51.297874450683594,2.6682770252227783
835,1.5,naive,61.484615325927734,0.9756843447685242
835,1.5,norm_preserving,61.873023986816406,0.9469724297523499
835,1.5,denoise_naive,50.60914993286133,1.131941556930542
