token_id,token_str,count,base_mean,delta_mean
4671, parties,21,-3.710932271821158,-5.420922443980262
3794, India,38,-2.71587287121771,-5.392697547642072
2678, countries,34,-2.77394959081293,-5.392366525744472
5831, Sanders,40,-2.319789845194464,-5.364945016102138
3850, letter,22,-2.7820197061042893,-5.363131751899015
3427, European,29,-2.9295675954942046,-5.350528454472278
1339, case,72,-2.927544488468104,-5.3376755602657795
3859, platform,24,-4.546068588892619,-5.305555562178294
1919, social,52,-4.423976732561221,-5.2918839643781
2858, environment,25,-3.6876506704092025,-5.2894463545084
598, app,29,-3.412642187984853,-5.287382581239116
3203, Facebook,66,-2.943435570983583,-5.279903630729567
3015, vote,61,-2.811077737661659,-5.269214331126603
1103, real,62,-4.993363461970735,-5.2356917965648355
1627, line,43,-3.7525290669392803,-5.235161492714068
1923, campaign,60,-3.035515942176183,-5.226946826030812
2444, students,29,-2.1798499997319847,-5.221840508025268
4902, crisis,29,-3.0509116456940255,-5.2172803444595175
2482, results,33,-3.8308097395029934,-5.210263074347467
7309, plastic,23,-3.534338246221128,-5.208489293637483
3037, technology,31,-4.333961844444275,-5.20781146013929
3277, nation,26,-4.199604236162626,-5.196073880562414
5417, sea,22,-4.137575795704668,-5.1893561360510905
3195, TV,34,-4.799677322016043,-5.184893188231131
1964, political,77,-4.586391769059293,-5.169796140550019
4540, candidate,21,-1.7949680295728503,-5.151830422026771
2042, black,58,-3.840299336047008,-5.150879287514193
2863, chance,22,-2.598578249612315,-5.147030027329244
3451, career,35,-3.2295713127723764,-5.135690660215914
1353, top,70,-3.730900993224616,-5.135617291368694
1714, sex,33,-3.1866541703542075,-5.127436674002444
3284, Russia,38,-3.254757476333333,-5.1271574530064274
4056, programs,29,-3.9177327272562503,-5.106690362264434
4268, drop,21,-4.0518277649368555,-5.1019344847826735
2807, China,29,-3.6070719788107892,-5.094899305463607
2056, media,66,-3.1403798236455205,-5.050869287626648
2438, code,23,-3.7306195465118988,-5.050798331265864
3296, fans,32,-3.925365407951176,-5.043434238992631
1692, human,50,-4.667140253794496,-5.0433425915119
2872, match,21,-5.981724540392558,-5.0326342071805685
1687, tax,37,-3.168008612594693,-5.026988536144632
1281, post,67,-4.604082307760923,-5.016496490134593
3988, kids,37,-4.471637279600711,-5.011514388226174
2057, food,57,-3.5991771427685753,-4.988096492593749
1917, problem,68,-3.328509499811951,-4.973786832764745
4706, manager,24,-3.3446328012893596,-4.973313230400285
5052, judge,22,-3.78073662773452,-4.960009672594342
1730, deal,57,-3.237727640229359,-4.9563355929496
2723, source,36,-3.8698502269851613,-4.940812294271179
2776, relationship,37,-2.609974955082745,-4.9303545264174815
1573, word,32,-3.938845012231468,-4.926121089712979
2031, Europe,42,-3.6518583782904206,-4.919710191676305
3623, gas,27,-2.9378129150244168,-4.918837698085957
3162, Congress,28,-3.6189302188743437,-4.912025372497737
2619, Black,23,-3.346813630379114,-4.907705474578467
2116, self,28,-6.1429426457200735,-4.905639209917614
2494, rate,23,-1.7385491521057228,-4.904257102545513
2656, original,24,-4.456135854125023,-4.903675749897957
1994, key,40,-4.979987233877182,-4.897585207223893
1410, plan,47,-3.1496051957711892,-4.889625119203901
2156, house,21,-3.132986918091774,-4.869792577056657
1910, market,45,-3.25975475382422,-4.868479398837209
2823, shot,38,-3.7669974933623482,-4.866765244079655
1176, power,71,-4.179702754677634,-4.856912575051365
1080, system,74,-2.315052396863246,-4.841041976919499
2260, national,35,-5.011710254947788,-4.833504561554374
2692, Israel,44,-3.1999220732329623,-4.815955354765968
132,�,21,-2.472911307809963,-4.777205131282764
3884, credit,24,-3.8892154950566087,-4.77215089751553
1808, question,37,-3.027971994509367,-4.7637206069067926
1893, president,66,-2.8562293251002715,-4.7609001170970835
3715, scene,30,-2.906208373978734,-4.757120200122396
3275, message,26,-4.004204070052276,-4.73922352750714
2717, federal,44,-5.021035216071389,-4.735918229276485
1966, former,59,-4.797449511681068,-4.727496382606736
1230, government,128,-3.2650868018099573,-4.7181121758476365
1099, law,76,-2.379786502585232,-4.701039419261322
5471, opposition,32,-5.298683822154999,-4.695793017745018
569, V,31,-4.8131293428521005,-4.693658126458045
3660, modern,21,-5.555660997118268,-4.688262666974749
2267, research,61,-3.6468557455256336,-4.684951732515311
1048, person,43,-3.114887453799764,-4.682691646165885
