split,feature,family,cos_d_bar,cos_mu_hat,cos_v_hat,weak_half_energy,logit_reach
dev,24487,centred,-0.00039633922278881073,9.313225746154785e-10,0.9992454051971436,0.4959026575088501,38.36026382446289
dev,24487,purified,-7.450580596923828e-09,0.03796970844268799,0.9999818801879883,0.4970776438713074,38.39168930053711
dev,24487,diffmeans_purified,-1.30385160446167e-08,0.16142280399799347,0.9176321625709534,0.508552610874176,37.2187385559082
dev,24487,learned,0.21736016869544983,0.06712783128023148,0.9295604228973389,0.5221534371376038,37.89802169799805
dev,10388,decoder,-0.007041763514280319,0.14004461467266083,1.000000238418579,0.432256281375885,37.344539642333984
dev,10388,shared,0.5963857173919678,0.025197302922606468,0.7984784841537476,0.5672292709350586,33.81291580200195
dev,10388,diffmeans,-0.03668023645877838,0.2606891393661499,0.7332000136375427,0.48660510778427124,40.71918487548828
dev,10388,centred,0.013378743082284927,-7.450580596923828e-09,0.9901452660560608,0.42159387469291687,37.47121047973633
dev,10388,purified,-3.725290298461914e-09,0.1390279084444046,0.999975323677063,0.4322897791862488,37.342220306396484
dev,10388,diffmeans_purified,0.0,0.2555471658706665,0.7334352731704712,0.4859834909439087,40.68517303466797
dev,10388,learned,0.31197404861450195,0.10807231068611145,0.8994194269180298,0.4936984181404114,35.50649642944336
dev,17242,decoder,-0.05924537032842636,0.11621791124343872,1.0000001192092896,0.4853394627571106,41.64302444458008
dev,17242,shared,0.5690221786499023,0.006230387836694717,0.7871657013893127,0.579362154006958,36.356712341308594
dev,17242,diffmeans,-0.09207446873188019,0.12704524397850037,0.8762751817703247,0.47136154770851135,42.78723907470703
dev,17242,centred,-0.04269786924123764,-9.313225746154785e-09,0.9932237863540649,0.48028498888015747,41.405704498291016
dev,17242,purified,7.450580596923828e-09,0.10782425105571747,0.998243510723114,0.4833282232284546,41.56077194213867
dev,17242,diffmeans_purified,-1.862645149230957e-08,0.1141912117600441,0.8745351433753967,0.4662719964981079,42.73057174682617
dev,17242,learned,-0.2262107878923416,0.25725609064102173,0.876319169998169,0.5944644808769226,40.616539001464844
dev,1171,decoder,0.06183385103940964,0.0336051881313324,0.9999998807907104,0.42388278245925903,37.8328971862793
dev,1171,shared,0.631008505821228,-0.058333173394203186,0.8133090734481812,0.579701840877533,33.08695602416992
dev,1171,diffmeans,0.060594603419303894,0.031466566026210785,0.8611984252929688,0.43360552191734314,39.198875427246094
dev,1171,centred,0.06674003601074219,1.862645149230957e-09,0.9994351863861084,0.4237051010131836,37.804290771484375
dev,1171,purified,1.0710209608078003e-08,0.042644843459129333,0.9980864524841309,0.42157867550849915,37.97353744506836
dev,1171,diffmeans_purified,2.2351741790771484e-08,0.04031916707754135,0.8590301275253296,0.43064063787460327,39.223960876464844
dev,1171,learned,0.6314396858215332,-0.012015063315629959,0.7623894214630127,0.6076038479804993,32.109161376953125
dev,8475,decoder,0.04396483674645424,0.13378576934337616,1.0,0.46580633521080017,36.54639434814453
dev,8475,shared,0.6221776008605957,0.019693605601787567,0.8094730377197266,0.6084809303283691,32.05353546142578
dev,8475,diffmeans,-0.010389044880867004,0.2716361880302429,0.8384207487106323,0.5312271118164062,37.54343032836914
dev,8475,centred,0.06392140686511993,-4.0978193283081055e-08,0.991010308265686,0.45547398924827576,36.68435287475586
dev,8475,purified,9.313225746154785e-09,0.14029072225093842,0.9990330338478088,0.4639100134372711,36.65871810913086
dev,8475,diffmeans_purified,7.450580596923828e-09,0.2701456546783447,0.8389227390289307,0.5312561988830566,37.5366325378418
dev,8475,learned,0.6548634767532349,-0.10793052613735199,0.7109467387199402,0.6593835353851318,30.60505485534668
dev,21592,decoder,0.0629824548959732,0.014208775013685226,1.0000001192092896,0.3969857096672058,40.269493103027344
dev,21592,shared,0.6315726041793823,-0.07337111234664917,0.8135554790496826,0.5405793190002441,37.585201263427734
dev,21592,diffmeans,0.058620039373636246,0.021611735224723816,0.9205029606819153,0.39989688992500305,48.78361892700195
dev,21592,centred,0.0650474801659584,-1.1175870895385742e-08,0.99989914894104,0.39651310443878174,40.35552978515625
dev,21592,purified,-4.656612873077393e-10,0.02337963879108429,0.9980146884918213,0.39773380756378174,40.060970306396484
dev,21592,diffmeans_purified,7.916241884231567e-09,0.030156061053276062,0.9183902740478516,0.39951369166374207,48.562583923339844
dev,21592,learned,0.3245370388031006,-0.07746176421642303,0.8999859690666199,0.469728946685791,43.168827056884766
test_r3,1344,decoder,0.027874834835529327,0.01438637264072895,1.0000001192092896,0.43920254707336426,38.25925827026367
test_r3,1344,shared,0.6141369342803955,-0.07442538440227509,0.8060117959976196,0.5834470987319946,32.916221618652344
