arm,feature,c,dist1,dist2,dist3
dirfix,17102,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,17102,0.5,0.5896739130434783,0.907608695652174,0.9221014492753623
dirfix,17102,1.0,0.527089072543618,0.8870523415977961,0.9274563820018366
dirfix,17102,1.25,0.5081818181818182,0.89,0.9372727272727273
dirfix,17102,1.5,0.49343339587242024,0.8630393996247655,0.925891181988743
dirfix,17102,2.0,0.3806343906510851,0.7554257095158597,0.8906510851419032
dirfix,17102,2.5,0.23652694610778444,0.5800898203592815,0.7664670658682635
dirfix,17102,3.0,0.1888317413666422,0.5033063923585599,0.700955180014695
dirfix,23257,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,23257,0.5,0.617208077260755,0.9244951712028094,0.9253731343283582
dirfix,23257,1.0,0.5807560137457045,0.8737113402061856,0.9097938144329897
dirfix,23257,1.25,0.5552608311229,0.8770999115826702,0.9027409372236959
dirfix,23257,1.5,0.47610294117647056,0.7830882352941176,0.8409926470588235
dirfix,23257,2.0,0.22130394857667585,0.4719926538108356,0.588613406795225
dirfix,23257,2.5,0.1122345803842265,0.2699696663296259,0.4408493427704752
dirfix,23257,3.0,0.08397790055248619,0.2154696132596685,0.3701657458563536
naive,359,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,359,0.5,0.6482965931863728,0.9168336673346693,0.9228456913827655
naive,359,1.0,0.2111731843575419,0.4312849162011173,0.6279329608938548
naive,359,1.25,0.0989010989010989,0.23076923076923078,0.36563436563436563
naive,359,1.5,0.05304347826086957,0.11826086956521739,0.19217391304347825
naive,359,2.0,0.005105762217359592,0.012399708242159009,0.029175784099197667
naive,359,2.5,0.0020833333333333333,0.00625,0.013194444444444444
naive,359,3.0,0.0020833333333333333,0.004861111111111111,0.008333333333333333
naive,1344,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,1344,0.5,0.6549707602339181,0.9434697855750487,0.9376218323586745
naive,1344,1.0,0.6127167630057804,0.9017341040462428,0.9109826589595376
naive,1344,1.25,0.5942528735632184,0.9103448275862069,0.9264367816091954
naive,1344,1.5,0.6363636363636364,0.938961038961039,0.922077922077922
naive,1344,2.0,0.6782729805013927,0.9415041782729805,0.9164345403899722
naive,1344,2.5,0.6693418940609952,0.9229534510433387,0.9004815409309791
naive,1344,3.0,0.6478632478632479,0.9162393162393162,0.8957264957264958
naive,4317,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,4317,0.5,0.6436990027198549,0.9519492293744334,0.9456029011786038
naive,4317,1.0,0.645928636779506,0.9432753888380604,0.9441903019213175
naive,4317,1.25,0.6153846153846154,0.9324577861163227,0.9437148217636022
naive,4317,1.5,0.6258246936852027,0.9293119698397738,0.942507068803016
naive,4317,2.0,0.6009302325581395,0.9134883720930232,0.9432558139534883
naive,4317,2.5,0.5622076707202993,0.9055191768007483,0.9420018709073901
naive,4317,3.0,0.5062056737588653,0.8634751773049646,0.9290780141843972
naive,4398,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,4398,0.5,0.5696757230499562,0.92988606485539,0.9465381244522348
naive,4398,1.0,0.5131698455949137,0.9164396003633061,0.9391462306993642
naive,4398,1.25,0.47451343836886006,0.8989805375347544,0.9416126042632067
naive,4398,1.5,0.4664143803216651,0.8864711447492905,0.935666982024598
naive,4398,2.0,0.44921875,0.8662109375,0.931640625
naive,4398,2.5,0.3940269749518304,0.8574181117533719,0.9354527938342967
naive,4398,3.0,0.361576354679803,0.8266009852216749,0.929064039408867
naive,6587,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,6587,0.5,0.6412754650132861,0.9388839681133747,0.9468556244464128
naive,6587,1.0,0.5955056179775281,0.9213483146067416,0.9363295880149812
naive,6587,1.25,0.5421348314606742,0.898876404494382,0.9363295880149812
naive,6587,1.5,0.463881636205396,0.8328981723237598,0.9120974760661444
naive,6587,2.0,0.3156586578293289,0.6702568351284176,0.8268434134217068
naive,6587,2.5,0.22283033620015638,0.5301016419077405,0.7568412822517592
naive,6587,3.0,0.1618320610687023,0.4442748091603053,0.7022900763358778
