match_mode,arm,group,n_pairs,n_matched,n_skipped,skip_frac,n_features,mean_d_logppl,d_logppl_lo95,d_logppl_hi95,mean_d_keyword_hit,d_keyword_hit_lo95,d_keyword_hit_hi95,mean_d_rep4,d_rep4_lo95,d_rep4_hi95
rep4,residual,all,96,90,6,0.0625,12,-0.7188568212527047,-1.228219834505452,-0.14187113628423192,0.0869568229750829,-0.023819495670904627,0.20346747920194763,,,
rep4,residual,c_n=0.0,12,12,0,0.0,12,-0.00021838744481417205,-0.0004244301054214435,-5.7683388392182344e-05,0.0,0.0,0.0,,,
rep4,residual,c_n=0.5,12,11,1,0.08333333333333333,11,0.04565956939867435,-0.13940211777447642,0.304463186795922,0.010592806244980168,-0.09808582297712733,0.14481223318179837,,,
rep4,residual,c_n=1.0,12,10,2,0.16666666666666666,10,-0.8380360634418624,-1.177297284543514,-0.4973897649476015,-0.13731255453665883,-0.31731868951416964,0.03122102318145482,,,
rep4,residual,c_n=1.5,12,12,0,0.0,12,-1.4102779865766228,-2.0909074217751145,-0.5723621454155589,-0.003947934055620332,-0.2110598962857612,0.20071506801434436,,,
rep4,residual,c_n=2.0,12,12,0,0.0,12,-1.5255831697113662,-2.3781470618570526,-0.5215059403403621,0.11902290372757039,-0.01617259956796253,0.26165141574919143,,,
rep4,residual,c_n=3.0,12,12,0,0.0,12,-0.9606812627015403,-1.8538640880812014,-0.05017063170850679,0.22770897514184782,0.0808856663520778,0.3939033003424859,,,
rep4,residual,c_n=4.0,12,11,1,0.08333333333333333,11,-0.6390634411854671,-1.6337089327527714,0.4278390131629722,0.2284517535895836,0.08913653839948527,0.39336880576280536,,,
rep4,residual,c_n=5.0,12,10,2,0.16666666666666666,10,-0.3028181011457947,-1.3402986635245657,0.8284865881987314,0.24563421171782746,0.09946594686803724,0.41939261825131385,,,
rep4,shared,all,96,71,25,0.2604166666666667,12,-1.6322445040608045,-2.019552312886727,-1.1563261870790662,0.12385464831947864,-0.028245914552689436,0.2605543869501274,,,
rep4,shared,c_n=0.0,12,12,0,0.0,12,-0.00010302133030363574,-0.0003090639909109072,0.0,0.0,0.0,0.0,,,
rep4,shared,c_n=0.5,12,7,5,0.4166666666666667,7,-0.7857979063005577,-1.429361387107845,-0.4030310880312912,-0.008292503029345146,-0.15339324286692707,0.0856585909217488,,,
rep4,shared,c_n=1.0,12,8,4,0.3333333333333333,8,-1.6844228460891706,-2.380512587496528,-1.1480824660190339,-0.018826867701591088,-0.34805689061694367,0.26449227685688126,,,
rep4,shared,c_n=1.5,12,9,3,0.25,9,-2.678161875225716,-3.3800876021542914,-2.0050961719149423,-0.05247909211362208,-0.34779985166887833,0.24066529767747052,,,
rep4,shared,c_n=2.0,12,9,3,0.25,9,-2.8859231755801122,-3.8293182071361183,-1.9694760972366978,0.20465731848938307,-0.04382354819753795,0.48153087924312493,,,
rep4,shared,c_n=3.0,12,8,4,0.3333333333333333,8,-2.433443169738822,-3.1205508640070074,-1.6167867586580478,0.30618138849379467,0.09918592758538515,0.5163477864601876,,,
rep4,shared,c_n=4.0,12,9,3,0.25,9,-1.6845521550156533,-2.4132710658897354,-0.9634505032112659,0.2853202678848701,0.10119757099505049,0.5252050970033948,,,
rep4,shared,c_n=5.0,12,9,3,0.25,9,-1.3563194676924748,-2.115947419007766,-0.6511192696739281,0.29060054857834366,0.10771021789432941,0.5016985686162329,,,
rep4,shared_only,all,96,65,31,0.3229166666666667,12,1.3590865991641923,-0.32817979959048676,2.895628448021778,-0.1537319175247925,-0.24560420638240876,-0.08045374877870642,,,
rep4,shared_only,c_n=0.0,12,12,0,0.0,12,-0.0002884136305917699,-0.00034609635671012384,-0.0002018895414142389,0.0,0.0,0.0,,,
rep4,shared_only,c_n=0.5,12,7,5,0.4166666666666667,7,3.645652942996363,1.9570722024764307,4.817550778713718,-0.3238095238095238,-0.5047619047619047,-0.14273809523809589,,,
rep4,shared_only,c_n=1.0,12,8,4,0.3333333333333333,8,1.6156569249408979,-0.1637851120646513,3.320229000446254,-0.37083333333333335,-0.5792708333333334,-0.1875,,,
rep4,shared_only,c_n=1.5,12,8,4,0.3333333333333333,8,1.1676309300649401,-0.8768244516582498,3.361718191444097,-0.27522875134081276,-0.4875,-0.125,,,
rep4,shared_only,c_n=2.0,12,9,3,0.25,9,0.6738322950503545,-1.249066106656765,2.8500014092152535,-0.1546352923497593,-0.29911160403987364,-0.039463041769529986,,,
rep4,shared_only,c_n=3.0,12,7,5,0.4166666666666667,7,1.266846432106932,-1.160798816575493,3.9594727666037404,-0.06902123526699896,-0.13328056577209318,-0.011705178995180806,,,
rep4,shared_only,c_n=4.0,12,7,5,0.4166666666666667,7,1.5885856982565978,-0.7655662420879495,4.418087362441152,-0.048263662591278504,-0.083546139187336,-0.009561370981503602,,,
rep4,shared_only,c_n=5.0,12,7,5,0.4166666666666667,7,2.0722429857457785,-0.12903778343548136,4.301966612889024,-0.049242768413700136,-0.11277125111311455,-0.006385625556557277,,,
keyword_hit,antimanifold,all,96,91,5,0.052083333333333336,12,-0.7991305870521234,-1.3326700163922272,-0.19758848187317754,,,,-0.04519765668940897,-0.13010700967412034,0.00021492679115579455
keyword_hit,antimanifold,c_n=0.0,12,12,0,0.0,12,0.0,0.0,0.0,,,,0.0,0.0,0.0
keyword_hit,antimanifold,c_n=0.5,12,11,1,0.08333333333333333,11,-0.07081117226928768,-0.25171398413682855,0.11464192034684771,,,,0.0032496728962570025,0.0009168927080784324,0.006597155770284046
keyword_hit,antimanifold,c_n=1.0,12,10,2,0.16666666666666666,10,-0.45533378908063604,-1.1051138200106017,0.13323380293250053,,,,-0.0028907269350865925,-0.010660171304540911,0.0015363864099770949
keyword_hit,antimanifold,c_n=1.5,12,11,1,0.08333333333333333,11,-1.4511711056555396,-2.2119899450234777,-0.5463389606629302,,,,-0.03306095331290951,-0.10391755926346809,0.004167764795233248
keyword_hit,antimanifold,c_n=2.0,12,12,0,0.0,12,-1.8272832333842886,-2.7037743188923202,-0.8021090838694618,,,,-0.07999646287688457,-0.22061991738776868,0.0020833898510618275
keyword_hit,antimanifold,c_n=3.0,12,12,0,0.0,12,-1.1368213505659375,-2.0944491411878463,-0.11035098507464125,,,,-0.05989365722101534,-0.20105444047279672,0.020841940239320546
keyword_hit,antimanifold,c_n=4.0,12,12,0,0.0,12,-0.8302815179306048,-1.9401323045852283,0.22080707299350488,,,,-0.07892588942590517,-0.22784006276180901,0.0006407076600662016
keyword_hit,antimanifold,c_n=5.0,12,11,1,0.08333333333333333,11,-0.5357370228357987,-1.5643385673348948,0.6108505911989638,,,,-0.1027602991378648,-0.27842662245879346,-0.0008272326583839235
keyword_hit,dirfix,all,96,91,5,0.052083333333333336,12,-0.9432254286984015,-1.507024441438471,-0.2568205990909099,,,,-0.046550725788896234,-0.1368094063191767,0.009480771318066128
