feature,arm,c,logppl,concept,n
5843,dirfix,2.0,4.511750753720602,0.5666666666666667,30
5843,dirfix,2.5,4.94746474424998,0.5666666666666667,30
5843,dirfix,3.0,5.425241692860921,0.5666666666666667,30
5843,naive,0.0,3.4431234995524087,0.06666666666666667,30
5843,naive,0.5,3.569112022717794,0.23333333333333334,30
5843,naive,1.0,3.9741202036539716,0.2,30
5843,naive,1.25,4.349806594848633,0.4,30
5843,naive,1.5,4.228380552927653,0.3333333333333333,30
5843,naive,2.0,4.833014369010925,0.5666666666666667,30
5843,naive,2.5,5.1145187218983965,0.5333333333333333,30
5843,naive,3.0,5.600514586766561,0.23333333333333334,30
7998,dirfix,0.0,3.4431234995524087,0.03333333333333333,30
7998,dirfix,0.5,3.5955620964368182,0.3,30
7998,dirfix,1.0,4.081031858921051,0.9666666666666667,30
7998,dirfix,1.25,3.2762832204500834,1.0,30
7998,dirfix,1.5,2.3326122164726257,1.0,30
7998,dirfix,2.0,1.853250535329183,1.0,30
7998,dirfix,2.5,1.6538769125938415,0.9333333333333333,30
7998,dirfix,3.0,1.3975878298282622,0.6,30
7998,naive,0.0,3.4431234995524087,0.03333333333333333,30
7998,naive,0.5,4.0331925789515175,0.16666666666666666,30
7998,naive,1.0,4.374849716822307,0.6,30
7998,naive,1.25,2.427733540534973,0.13333333333333333,30
7998,naive,1.5,1.4512670755386352,0.03333333333333333,30
7998,naive,2.0,1.1752905090649923,0.0,30
7998,naive,2.5,1.1261491239070893,0.0,30
7998,naive,3.0,1.1146090030670166,0.0,30
8925,dirfix,0.0,3.4431234995524087,0.0,30
8925,dirfix,0.5,3.679916596412659,0.13333333333333333,30
8925,dirfix,1.0,4.127393523852031,0.6666666666666666,30
8925,dirfix,1.25,4.463543319702149,0.8333333333333334,30
8925,dirfix,1.5,4.871233654022217,0.9,30
8925,dirfix,2.0,4.991519665718078,1.0,30
8925,dirfix,2.5,4.242607466379801,1.0,30
8925,dirfix,3.0,3.5646754026412966,1.0,30
8925,naive,0.0,3.4431234995524087,0.0,30
8925,naive,0.5,3.8662821133931478,0.13333333333333333,30
8925,naive,1.0,4.671625018119812,0.5,30
8925,naive,1.25,5.268937198321025,0.4666666666666667,30
8925,naive,1.5,5.3929590861002605,0.6,30
8925,naive,2.0,4.672338581085205,0.2,30
8925,naive,2.5,4.117603262265523,0.0,30
8925,naive,3.0,3.635481762886047,0.0,30
13094,dirfix,0.0,3.4431234995524087,0.06666666666666667,30
13094,dirfix,0.5,3.6898072322209674,0.43333333333333335,30
13094,dirfix,1.0,4.782772986094157,0.9333333333333333,30
13094,dirfix,1.25,5.289275201161702,0.9666666666666667,30
13094,dirfix,1.5,5.109984429677327,1.0,30
13094,dirfix,2.0,4.899187421798706,1.0,30
13094,dirfix,2.5,4.391870427131653,1.0,30
13094,dirfix,3.0,4.050176946322123,1.0,30
13094,naive,0.0,3.4431234995524087,0.06666666666666667,30
13094,naive,0.5,4.303236730893453,0.4,30
13094,naive,1.0,6.4401260693868005,0.4666666666666667,30
13094,naive,1.25,7.073669799168905,0.16666666666666666,30
13094,naive,1.5,7.390457137425741,0.03333333333333333,30
13094,naive,2.0,7.464718198776245,0.03333333333333333,30
13094,naive,2.5,7.590254020690918,0.03333333333333333,30
13094,naive,3.0,7.5567827224731445,0.0,30
14434,dirfix,0.0,3.4431234995524087,0.0,30
14434,dirfix,0.5,3.8114534536997478,0.1,30
14434,dirfix,1.0,4.827669382095337,0.7333333333333333,30
14434,dirfix,1.25,5.052692969640096,0.8666666666666667,30
14434,dirfix,1.5,5.908339420954387,0.9333333333333333,30
14434,dirfix,2.0,4.741417984167735,0.8,30
14434,dirfix,2.5,4.521782632668813,0.8,30
14434,dirfix,3.0,3.837944181760152,0.5666666666666667,30
14434,naive,0.0,3.4431234995524087,0.0,30
14434,naive,0.5,4.206341791152954,0.16666666666666666,30
14434,naive,1.0,5.5282399972279865,0.7333333333333333,30
14434,naive,1.25,6.1105700174967446,0.6333333333333333,30
14434,naive,1.5,6.529819353421529,0.3333333333333333,30
14434,naive,2.0,6.625470026334127,0.13333333333333333,30
14434,naive,2.5,6.446302533149719,0.06666666666666667,30
14434,naive,3.0,5.871909912427267,0.06666666666666667,30
15503,dirfix,0.0,3.4431234995524087,0.0,30
15503,dirfix,0.5,3.6313560167948404,0.0,30
15503,dirfix,1.0,4.462324333190918,0.0,30
15503,dirfix,1.25,4.992898352940878,0.0,30
15503,dirfix,1.5,5.035630051294962,0.0,30
15503,dirfix,2.0,5.537244089444479,0.0,30
15503,dirfix,2.5,4.927281987667084,0.0,30
15503,dirfix,3.0,4.543596033255259,0.03333333333333333,30
15503,naive,0.0,3.4431234995524087,0.0,30
15503,naive,0.5,3.8998955567677815,0.06666666666666667,30
15503,naive,1.0,4.901924872398377,0.06666666666666667,30
15503,naive,1.25,5.877960761388143,0.23333333333333334,30
15503,naive,1.5,6.460036563873291,0.9,30
15503,naive,2.0,6.0135091781616214,0.9666666666666667,30
15503,naive,2.5,5.2558256467183435,0.9666666666666667,30
15503,naive,3.0,4.720423340797424,0.8333333333333334,30
16355,dirfix,0.0,3.4431234995524087,0.03333333333333333,30
16355,dirfix,0.5,3.283203911781311,0.06666666666666667,30
16355,dirfix,1.0,4.178109145164489,0.13333333333333333,30
16355,dirfix,1.25,4.7517165184021,0.3333333333333333,30
16355,dirfix,1.5,5.479130140940348,0.1,30
16355,dirfix,2.0,6.294718074798584,0.06666666666666667,30
16355,dirfix,2.5,5.1055696924527485,0.0,30
16355,dirfix,3.0,4.552729940414428,0.0,30
16355,naive,0.0,3.4431234995524087,0.03333333333333333,30
16355,naive,0.5,3.8523122469584146,0.13333333333333333,30
16355,naive,1.0,4.724490650494894,0.1,30
16355,naive,1.25,5.559594662984212,0.13333333333333333,30
16355,naive,1.5,6.099398676554362,0.03333333333333333,30
16355,naive,2.0,7.05260542233785,0.0,30
16355,naive,2.5,7.305545981725057,0.0,30
16355,naive,3.0,7.29998418490092,0.0,30
17590,dirfix,0.0,3.4431234995524087,0.4666666666666667,30
17590,dirfix,0.5,3.3288445234298707,0.4,30
17590,dirfix,1.0,3.49554971853892,0.3333333333333333,30
17590,dirfix,1.25,3.503170045216878,0.5333333333333333,30
17590,dirfix,1.5,3.732598574956258,0.5333333333333333,30
17590,dirfix,2.0,3.6526093324025473,0.4,30
17590,dirfix,2.5,3.855382490158081,0.4666666666666667,30
17590,dirfix,3.0,4.197726424535116,0.5,30
17590,naive,0.0,3.4431234995524087,0.4666666666666667,30
17590,naive,0.5,3.3763152360916138,0.3333333333333333,30
17590,naive,1.0,3.663394538561503,0.4,30
17590,naive,1.25,3.636500930786133,0.5,30
17590,naive,1.5,3.629738140106201,0.4,30
17590,naive,2.0,4.0922801971435545,0.5666666666666667,30
17590,naive,2.5,4.368096590042114,0.6333333333333333,30
17590,naive,3.0,4.504026699066162,0.6666666666666666,30
23860,dirfix,0.0,3.4431234995524087,0.2,30
23860,dirfix,0.5,3.7693454384803773,0.23333333333333334,30
23860,dirfix,1.0,4.539767972628275,0.8333333333333334,30
23860,dirfix,1.25,4.988819559415181,0.9666666666666667,30
23860,dirfix,1.5,5.417221029599507,0.9666666666666667,30
23860,dirfix,2.0,5.917389726638794,1.0,30
23860,dirfix,2.5,6.336485687891642,1.0,30
23860,dirfix,3.0,6.920093250274658,0.9666666666666667,30
23860,naive,0.0,3.4431234995524087,0.2,30
23860,naive,0.5,3.8269997159639995,0.3,30
23860,naive,1.0,4.992749643325806,0.6333333333333333,30
23860,naive,1.25,5.417005793253581,0.7,30
23860,naive,1.5,6.000541543960571,0.7333333333333333,30
23860,naive,2.0,6.5595098495483395,0.7,30
23860,naive,2.5,6.608907016118367,0.3333333333333333,30
23860,naive,3.0,6.26852486928304,0.23333333333333334,30
