token_id,token_str,count,base_mean,delta_mean
2524, site,24,-3.255831664428115,-3.453397360319893
1176, power,71,-4.179702754677634,-3.4482447685203255
2223, action,40,-3.9304081628331913,-3.4375917286903137
779, use,137,-3.8754207795455264,-3.4357506839480307
1762, working,59,-4.548606304799096,-3.4334142086869583
3237,All,28,-5.651507775166205,-3.428470752601114
2042, black,58,-3.840299336047008,-3.427427977323532
2219, common,40,-5.214970203216216,-3.423292625782052
3356, movement,29,-4.161008815570124,-3.4228938594460487
505,one,32,-2.235852603862682,-3.4203665957499965
1364, left,66,-4.5209727502943045,-3.4172889282044983
484, they,518,-2.3864320790355587,-3.416757918286594
1757, John,32,-4.070203538088208,-3.4145302842016463
991, still,144,-4.7066017434828815,-3.412664435758618
371, R,66,-4.461713590478404,-3.4101595128859943
337, M,59,-5.00361852291419,-3.4073104791508957
3403, conditions,26,-3.6117961874518256,-3.4018062427986973
705, ',90,-3.0940054008219806,-3.3928540798835454
2688, West,24,-4.052244282017152,-3.384927795579036
1135,We,124,-3.7279333546269506,-3.3807857347719907
390, de,30,-6.158501770099004,-3.3785101706782967
1057, run,56,-4.6437339113950395,-3.378483614154642
467, go,95,-4.033648931951948,-3.3749365407789718
734, two,230,-3.986718241761074,-3.369881705442727
1964, political,77,-4.586391769059293,-3.3697046548515175
2628, groups,34,-2.5276883692644976,-3.360972272232175
1439, All,25,-4.525781965712667,-3.3608072243811327
674, our,263,-3.1436017087025316,-3.3550926797916825
45,N,39,-2.954815754559464,-3.351792283300967
3641, center,29,-4.165084661273607,-3.3512777193481558
466, do,236,-2.9992172584584833,-3.327893517532591
1640,for,21,-2.116923405212306,-3.3274811389901946
1998, experience,38,-3.952779894645669,-3.327205990343109
2156, house,21,-3.132986918091774,-3.3224736530156367
1048, person,43,-3.114887453799764,-3.322209406709082
1785, event,43,-2.8804147897591426,-3.320835063017385
1862, young,35,-4.754718817983355,-3.3175528253827773
471, U,140,-3.7634049119693893,-3.3081752199147427
309, T,66,-5.085256347827839,-3.304886667791642
1966, former,59,-4.797449511681068,-3.3003509632327557
69,f,46,-2.6482575660129837,-3.2996307541875667
2252, further,34,-4.576344624271288,-3.2980645871995122
1280, open,59,-4.152571896797982,-3.2967687645109205
938, last,195,-3.765227086928028,-3.2853394269465634
2139, service,42,-3.6589820332204304,-3.280035111210531
867, many,189,-3.6596719836933223,-3.2675756825025286
2276, general,51,-3.8161914619119544,-3.2663062677294126
3685, violence,32,-2.9307637790916488,-3.2584812943678116
2491, running,44,-5.306623776189306,-3.2496129651130596
3195, TV,34,-4.799677322016043,-3.249211374670267
77,n,56,-2.48063191534389,-3.243870154704252
2151, party,49,-3.7449305094018275,-3.243289093277892
3896, rule,21,-4.155862544618902,-3.2424477222874497
764, .,35,-4.073461006249168,-3.2422229516319927
5052, judge,22,-3.78073662773452,-3.24078262411058
290, and,4358,-2.1318917528662307,-3.2403126168067
317, A,195,-4.020640402097398,-3.237564295523155
2438, code,23,-3.7306195465118988,-3.228017249509044
279, p,47,-3.913532938174111,-3.2251621152650802
428, this,794,-3.117483609551319,-3.2245371596649375
281, an,662,-3.5977086419157165,-3.224319114198724
636, part,109,-3.3701441468550275,-3.2238872662496973
1181, state,122,-3.6168721232899146,-3.223321728555287
271,is,58,-1.684581408659769,-3.2226761207363372
1210, turn,31,-5.155862542410051,-3.2208827094685644
4445, daily,24,-4.947309881053418,-3.2176480489700525
1641, family,58,-3.5321053148985935,-3.2131826991279575
2008, video,49,-3.1169246150541823,-3.203019769852791
4334, heavy,22,-5.1526500826108865,-3.201261153994974
1988, value,36,-4.467136989037196,-3.196673315432336
2003, future,53,-3.4961865128211254,-3.193272120169944
826, right,106,-3.814527371546851,-3.182159725431669
2104, entire,24,-4.264060181876023,-3.18179634710153
1657, light,36,-4.870041916728951,-3.1805979487770752
2187, whole,32,-3.96171351353496,-3.1747651259015583
788, then,144,-3.6113976567460973,-3.154126027891834
3660, modern,21,-5.555660997118268,-3.1486201399848586
355, as,1038,-2.4530165811457474,-3.1483711091096636
5471, opposition,32,-5.298683822154999,-3.144265224225819
3833, pressure,23,-4.372062570374945,-3.1408481280440865
12,-,2157,-1.3242555528061344,-3.1398669840303475
7,(,57,-3.0741075368214137,-3.137995282265668
1230, government,128,-3.2650868018099573,-3.133774111556704
3348, paper,29,-4.168816760824672,-3.128706830134716
3899, Michael,21,-4.3079400615644685,-3.128439586953305
2351, National,44,-3.7214471957730977,-3.1253168783573937
606, them,222,-2.2830191031937397,-3.1164937349894246
905, show,99,-3.983931396336758,-3.114999271184029
976, same,120,-2.474092330482866,-3.110372288586708
1992, President,70,-4.2988521043211225,-3.104920129930334
3867, moving,22,-6.187095967206088,-3.1041437875140803
1700, record,40,-3.3487660602899267,-3.10373577667051
2990,They,29,-4.926034208001761,-3.1025817599789853
1987, 24,22,-4.683918737680704,-3.0998441841048505
3265, population,30,-3.902739679813385,-3.0996288872556756
1366, data,46,-3.4507090565950973,-3.097509166468745
717, first,306,-3.521458939376952,-3.095562818996786
287, in,3276,-2.2630535503872395,-3.094070038860051
3234, race,25,-4.208644429184496,-3.084269457124174
1802, 100,42,-3.7303495757181997,-3.0807077528942113
2324, security,22,-3.5420809829268944,-3.080547092810527
2260, national,35,-5.011710254947788,-3.0751093188633334
2802, mother,26,-4.2120932054061155,-3.0729975665991125
685, [,75,-4.536719880824288,-3.0706378585779266
1675, To,30,-5.251642290751139,-3.0492535273234047
1099, law,76,-2.379786502585232,-3.041433807639135
2482, results,33,-3.8308097395029934,-3.0364107761644954
1204, life,119,-2.7646704198589096,-3.033554120440018
2035, either,32,-6.2447031904011965,-3.0333362352102995
749, most,220,-3.55080566570766,-3.0326141233275514
1243, things,80,-3.507031843473669,-3.032562642963603
2695, content,26,-5.066946175235969,-3.030273886254201
481, will,531,-2.481188676311521,-3.026764457353832
978, Al,22,-5.869739694690162,-3.025727946353568
857, does,73,-3.6477441379468734,-3.0131811483265607
56,Y,23,-3.23543610085756,-3.0104033953260942
1661, times,58,-2.2742854947222253,-3.009593816936731
1595, doesn,56,-4.227005364639418,-3.006195208856038
2081, true,24,-4.817630548068943,-3.0010547240187098
1813, given,52,-5.330130674518072,-2.9992028142397213
922, good,114,-3.8593981668287727,-2.9906634641647862
2646, film,35,-3.7216926310743603,-2.98761088848114
379, at,835,-3.2322339776341695,-2.987030678764984
68,e,51,-1.798575930462118,-2.980710947483114
597, any,193,-3.3585373793901763,-2.9801853358199084
1182, head,40,-4.489099130034447,-2.9769423604011536
1923, campaign,60,-3.035515942176183,-2.9766196550646176
1944, present,24,-4.97199347615242,-2.9758400805294514
256, t,29,-6.964106769397341,-2.9596900487768236
4047, highly,25,-5.580183632560074,-2.9525308234617116
2166, front,30,-4.478425303961315,-2.9506227047587643
2866, speed,23,-4.499840100660272,-2.9462704343478316
661, people,355,-2.985826018578406,-2.9460284067765468
3249, meeting,33,-3.4582189677113835,-2.945056193624623
1363, home,67,-3.496402684865005,-2.93962937372271
3306, necessary,21,-4.7924462386540005,-2.939214274996803
2005, cut,31,-5.747543396488313,-2.9389243125915527
2897, offer,28,-4.971497439912388,-2.9377810417541435
3274, First,34,-4.762941219350871,-2.928256811902803
2863, chance,22,-2.598578249612315,-2.9273890372371008
1690, often,67,-4.757371522666914,-2.911551963412829
3074, situation,37,-3.771270427177188,-2.908273859373514
1180, different,88,-3.9457545929419044,-2.9056488748385823
2986, San,35,-3.707828726642765,-2.9041587508982043
1692, human,50,-4.667140253794496,-2.9012215930101224
2877, living,27,-4.388904130017316,-2.8999318127278926
73,j,25,-2.4545476975501517,-2.8899785825051367
1052, An,24,-5.421957689550861,-2.888815473241265
1997, anything,40,-5.4564904946833845,-2.8854457263369113
340, it,1252,-2.4141831950234516,-2.876464650290069
2056, media,66,-3.1403798236455205,-2.868845779279416
4045, overall,26,-4.972572970848817,-2.868404944355672
41,J,40,-2.8507096665445717,-2.8636661004391497
1705, news,73,-3.6452184875100238,-2.860762708829174
2635, White,38,-4.749144887992818,-2.858228300992203
655, just,254,-4.608182801289381,-2.857647814952923
750, did,113,-3.7501233684278166,-2.854847908679363
925, made,131,-4.212418120269102,-2.8466590466475443
3501, giving,27,-5.64980306007244,-2.8439448630368265
385,us,30,-1.487256254885809,-2.842858801183138
412, E,44,-4.764477157613411,-2.841624895032675
85,v,28,-3.233180454333446,-2.8401093366555865
3354, parts,35,-4.792558913571494,-2.837935067926135
739, under,86,-5.011919519092094,-2.8358201650218353
923, start,51,-4.457498521178815,-2.833218851199775
743, may,139,-4.078194330505048,-2.8298191567899647
328,ig,27,-1.8395884761767876,-2.8294903918781698
1597, business,57,-4.461486850824721,-2.8293142201979657
351, with,1193,-2.2250178017786384,-2.8283522935943184
1903, early,53,-5.220686630258021,-2.824235300129315
1793, God,27,-2.8348906189203262,-2.8230457670158806
736, back,115,-3.7933505589790317,-2.8204479973479786
1441, return,31,-3.7146662238144104,-2.813345831518452
1119, They,98,-3.4062017062488867,-2.809284510661145
1327, hard,54,-4.370849026022134,-2.8080274128803495
1234, put,66,-4.435447637704343,-2.7991394289728655
757, again,38,-3.662743265477873,-2.798898483396012
2174, below,35,-2.719917002000979,-2.7935257299088074
2832, hands,21,-3.0115290765783618,-2.7928889572088202
1175, war,30,-3.8852788998202112,-2.7909838600937893
2026, 50,26,-4.508171278696794,-2.7898524288947764
344,ce,21,-1.5458457903964917,-2.7883702148659117
3667, claims,29,-4.824258135310535,-2.7860338423272664
2835, round,48,-3.2240918223493886,-2.779479037300917
2666, leave,37,-3.4719878435638307,-2.7720809457571924
4858, massive,34,-6.235978056402767,-2.760680913925172
1468, old,30,-3.6082790693539817,-2.759182660329194
3315, medical,26,-5.297970050990653,-2.7537503371445027
883, those,166,-3.872760922277728,-2.7518356095674075
494,ie,49,-1.4355882831426856,-2.7502628369755406
318, is,1970,-1.7277812946377722,-2.746758633968583
523, so,295,-3.9699841503369604,-2.746065982505906
82,s,1347,-1.0991727580821435,-2.7391087079527385
3759, Donald,30,-2.5599953162794313,-2.7389262292534116
1535, health,67,-3.1660952850509045,-2.734180798420488
270,it,32,-3.2974056336624926,-2.7322621353268914
2551, decision,46,-3.6346497159937154,-2.7320495919810366
3352, plans,33,-4.446356181323416,-2.730236210112431
2714, held,38,-3.8309401030603207,-2.726627911784147
357, (,794,-3.27614256301886,-2.724269195216671
1296, form,33,-3.15258366061431,-2.7229389912928594
2057, food,57,-3.5991771427685753,-2.721653131931497
1854, others,48,-3.5352109340795628,-2.7171061022284753
2342, watch,32,-2.9354934482453245,-2.717087922772407
2300, matter,39,-2.5598324838763054,-2.7159279999237373
1735, side,39,-2.2706974547069807,-2.7088281226654845
2209, address,40,-2.82174193803221,-2.708533055987209
3957, growing,26,-5.919207033056479,-2.704298286483838
1467, 16,29,-4.7301707093057965,-2.702987129318303
1751, children,62,-2.734911699929545,-2.702339706882354
2947, Post,30,-2.599590047157229,-2.7009002019327455
3432, paid,21,-4.96045260202317,-2.6908768585750034
1218, second,81,-3.8859401209118927,-2.6872060118634025
612, there,331,-3.6153252615662486,-2.6861517129259656
4028, actions,22,-4.544688419333067,-2.6849595761688594
1524, school,56,-3.5369250234299607,-2.684536411617176
1660, water,38,-3.476681030723021,-2.6838139446718787
1870,And,36,-4.11050499147839,-2.6803163223796425
604, 4,72,-3.835010901898689,-2.678391013507078
582, man,81,-3.3647011290304363,-2.6762095767556238
2080, With,32,-4.952041603764883,-2.675974443414816
33,B,73,-3.2448220756700286,-2.6648712889432877
2107, live,40,-4.1578450301502015,-2.6625863101053255
1912, based,49,-5.20679260273369,-2.661153726431788
285, m,24,-4.869815646360318,-2.6610646589348708
1212,This,101,-4.189324184662045,-2.655913976897107
3126, 60,22,-5.236766836775297,-2.6555014675356112
2766, leaders,28,-3.4796788735049113,-2.6542522034474776
349,ol,24,-2.13796255189421,-2.647001851262757
2147, nothing,38,-4.459224747493863,-2.6451014276642937
383, The,695,-2.63786460245857,-2.643308102318487
2089, bad,33,-3.7248105151635227,-2.640022747670159
1169,the,63,-2.7154779948979257,-2.6383715679405704
1561, talk,39,-4.984319465128908,-2.6359286744890804
2180, previous,24,-5.218311537057161,-2.6274839031199617
2626, lost,23,-5.364296944245048,-2.625355717928514
259,in,100,-1.925594833599089,-2.6250034898112826
2266, red,22,-5.721287074414167,-2.624395617029884
3576, London,31,-3.7047615566501215,-2.6207566106872213
940,10,28,-3.623533577042898,-2.6173250896369735
1440, four,86,-4.941421180443708,-2.6117095318785326
2514,To,27,-5.146777638682613,-2.605017706199929
2233, due,43,-5.498989826024965,-2.6039518422858654
1752, once,55,-6.134062786535783,-2.60299004262144
356, we,514,-2.596051109202092,-2.591913276319601
1266, best,92,-3.2410132702055345,-2.590695560089839
973, used,96,-3.704855550080538,-2.5893191006034613
1429, process,54,-2.6638318595510944,-2.5845994924160616
1462,to,40,-1.517350181643269,-2.5829420697713434
1334, rest,28,-4.712764214647385,-2.579665310435562
836, don,132,-3.3332955454913615,-2.5787562022945196
1398, class,30,-4.4021364813049635,-2.5783312052488325
1239, never,73,-4.108976617888003,-2.574417358236868
881, much,164,-3.5786940886755474,-2.573309540097398
42,K,48,-3.182706628140295,-2.5718037283998756
297,ll,50,-1.9959777394251432,-2.570738493265817
3176, financial,29,-4.629224254906274,-2.569801844660482
84,u,29,-1.875577937245343,-2.5671688900411964
2321, 2012,41,-3.5201683466027425,-2.5651768111601103
1165, too,86,-4.0214408113036395,-2.565039535486247
5006, cars,25,-3.657973437309265,-2.5609688670933246
2354, outside,33,-4.874969198848262,-2.5562977086413987
2157, behind,44,-4.6963259447366,-2.554510203391229
3466, teams,34,-2.838825604714015,-2.5542959387907214
1624, claim,30,-4.01078308224678,-2.551689692338308
2314, cannot,26,-5.351866694597097,-2.5448198960377617
440, O,58,-4.300888549492309,-2.541346666431215
464,The,671,-2.2677449261250553,-2.5407715304192555
609, Ch,23,-3.484226444169231,-2.540416119134296
1450, men,73,-2.44117251519522,-2.5378992226459594
1160, 20,52,-4.285551082199583,-2.5352744137725
2499, works,27,-3.9105044619904623,-2.534239858802822
1544,He,54,-3.1545302625055665,-2.5319430585260743
87,x,32,-1.3685689704889228,-2.5293611761098873
1728, certain,26,-5.455879541543814,-2.522226970929366
1474, near,27,-5.798765629529953,-2.5215183217078447
