index,dec_norm,var_along,kappa_tilt,freq,mean_act,n_distinct,content_mass,blocked
136,1.0000162,20.07293,1.7308263,0.0019060847,3.2352917,1,0.0,False
137,1.0000287,18.633938,1.9550333,0.002582672,1.9246829,18,0.820199132535155,False
138,1.000039,13.584554,1.8001631,0.00038095238,8.054854,4,1.0,False
139,1.0000432,12.574021,1.5626309,0.00026719578,10.392009,3,1.0,False
140,0.9999947,19.758642,2.179652,0.0003313492,4.740398,2,0.0,False
141,1.0000294,14.594841,1.6586341,0.0032116403,2.7274904,4,0.0,False
142,1.000038,32.863827,1.3606602,0.015395503,0.7021442,135,0.4180398819678483,False
143,1.0000677,7.4705586,2.0880823,0.0020714286,3.4067428,79,0.15401163403731186,False
144,1.0000616,11.844101,2.1798456,0.0048551587,1.2586455,51,0.22604946996421046,False
145,1.0000169,14.512627,1.656575,0.00030489417,6.9158154,11,0.08831646400792113,False
146,1.0000439,10.382051,1.4570518,0.00035978836,4.2010045,19,1.0,False
147,1.0000104,23.772358,1.5420403,0.0065873014,0.84674597,56,0.35302849738315817,False
148,1.0000428,7.872016,2.0512643,0.0007982804,3.2316604,3,0.0,False
149,0.9999984,14.890511,2.206505,0.0018220899,1.7697994,108,0.160391606784782,False
150,1.0000354,12.951712,1.8240025,0.0045972224,1.3326535,3,0.0,False
151,1.0000129,47.995094,1.3066607,0.007228836,0.71333814,46,0.09557681264790309,False
152,1.0000229,44.07731,1.0472157,0.0063095237,2.2435517,1,0.0,False
153,1.0000486,28.539635,1.5174012,0.0013088625,4.0994706,1,0.0,False
154,1.0000567,11.055086,1.7290998,0.00035714285,9.488227,3,1.0,False
155,1.0000385,11.691277,1.7773671,0.00023015874,5.0374494,16,0.09830178656367922,False
156,1.0000129,10.57025,1.6600056,0.002353836,4.854466,2,0.0,False
157,1.0000495,14.828459,1.8375884,0.004232143,1.8591933,107,0.8874156022137033,False
158,1.0000006,40.735394,1.6082932,0.004839947,1.1692239,31,0.21162410360738412,False
159,1.0000302,42.8206,1.329618,0.005239418,1.1498318,165,0.7505738871996108,True
161,1.0001161,25.874462,1.9454514,0.00021825396,1.8488624,28,0.5331096349524944,False
162,1.000049,11.980108,1.7828805,0.0010284391,1.8174107,43,0.8172152291539114,False
163,1.0000383,16.667248,2.1469064,0.00021296296,6.175585,9,0.9826621895764505,False
164,1.000099,26.632305,1.5360575,0.00587037,0.8807677,66,0.12935007042339272,False
165,1.0000547,21.549023,1.3475386,0.00041137566,4.4560637,1,0.0,False
166,1.0000515,18.760704,1.1888465,0.0019265873,6.741937,9,1.0,False
167,1.0000437,17.761505,2.172615,0.001912037,2.6577826,93,0.9835593033635366,False
168,1.0000771,17.965235,2.218532,0.004673942,1.2863455,82,0.07722473645350454,False
169,1.0000377,18.920277,2.2092617,0.0018108466,2.019913,91,0.005198664490639916,False
170,1.0000329,11.355381,1.8155884,0.0016316137,1.7965548,49,0.797512611675464,False
171,1.0000534,11.270374,1.6103721,0.0056256615,1.661804,61,0.35482624244801975,False
172,1.0000267,10.84263,1.4526814,0.00027116403,14.445195,2,1.0,False
173,1.0000048,8.839636,1.6843643,0.00047751324,2.080354,43,0.9018910627437968,False
174,1.000042,8.238882,1.7940708,0.003517857,1.6780226,14,0.022780473509387607,False
175,1.0000192,5.8764544,1.7340884,0.009414682,1.5029329,14,0.07168437005481391,False
176,1.000098,14.68828,2.3097577,0.0017427249,2.059922,88,0.042325266307216475,False
177,1.0000677,13.160634,1.7363781,0.0004345238,19.351301,3,1.0,False
178,1.0000546,14.109315,1.69279,0.00021693122,4.615078,16,0.16460743574383355,False
179,1.0000364,12.848816,1.7215807,0.002035053,2.4781215,40,0.9286517765411669,False
180,1.0000561,13.210139,1.6210223,0.0003207672,8.743855,2,0.0,False
181,1.0000277,13.1038475,1.9535819,0.00039550263,3.8513207,35,0.9070815964081563,False
182,1.0000613,8.555622,1.5474286,0.0015085979,1.5114348,66,0.4458156775617639,False
183,0.9999937,7.6444683,2.3696346,0.009123016,1.3171506,26,0.13420828379090607,False
184,1.0000409,11.788744,1.5513651,0.0011448413,5.565273,1,0.0,False
185,1.0000377,21.511246,1.8519517,0.0008062169,3.6647234,5,0.0,False
186,1.0000155,22.377918,1.5241536,0.0030839946,2.1190028,1,0.0,False
187,1.0000523,14.801944,1.4590803,0.0007480159,7.38927,1,0.0,False
188,1.0001135,14.864947,2.112348,0.000353836,5.567688,8,0.935691089090662,False
189,1.0000411,8.429382,1.8190066,0.0023637565,2.007808,142,0.09839841978718006,False
190,1.0000175,27.201904,1.3744133,0.0035648148,1.5523875,4,0.0,False
191,1.000005,28.623837,1.8267236,0.00057407405,3.0869029,3,0.04406927915371353,False
192,1.0000703,11.855246,1.7197882,0.000255291,4.3140755,23,0.043131231672129296,False
193,1.0000572,7.4056745,1.7061628,0.0020833334,3.14846,160,0.8475672504910803,False
194,1.0000168,9.6458435,2.0105307,0.00018584655,3.831998,1,0.0,False
195,1.0000807,23.075314,1.8360678,0.0014074075,3.8347116,1,0.0,False
196,1.000014,47.656822,1.1729994,0.0017863757,1.5480664,140,0.8664085778121458,True
197,1.0000569,15.812416,1.5776144,0.00027116403,8.508466,4,1.0,False
198,1.0000871,29.026474,1.6489044,0.015332672,0.60924655,126,0.42020999582082946,False
199,1.0000514,9.663296,2.34605,0.0028584655,1.507488,21,0.029962565558788658,False
200,1.0000918,26.510353,1.8720616,0.0006818783,4.4250426,1,0.0,False
